날짜,000660,003160,005290,005930,007660,014680,033160,036540,036930,039030,042700,061970,064290,067310,086390,089030,095340,102710,104830,112290,131290,166090,195870,222800,253590,281820,322310,348210,353200,357780,394280,403870,425040
2020-02-03,94700.0,3285.0,18000.0,57200.0,3261.0,108500.0,7720.0,6030.0,6950.0,106700.0,4375.0,7730.0,5340.0,4301.0,16300.0,9366.0,12150.0,28200.0,26800.0,,15000.0,17800.0,18100.0,11036.0,1405.0,20950.0,,,,,,,
2020-02-04,97100.0,3365.0,18000.0,58900.0,3352.0,109500.0,7780.0,5990.0,7070.0,109100.0,4500.0,7874.0,5650.0,4356.0,16650.0,9164.0,12100.0,28400.0,26700.0,,14800.0,17900.0,18550.0,11321.0,1535.0,21800.0,,,,,,,
2020-02-05,97700.0,3340.0,17400.0,59500.0,3395.0,110000.0,7850.0,5930.0,7070.0,107000.0,4520.0,7893.0,5860.0,4239.0,16150.0,8683.0,12200.0,27700.0,26650.0,,14050.0,17500.0,19200.0,11178.0,1540.0,21300.0,,,,,,,
2020-02-06,100500.0,3420.0,18000.0,61100.0,3482.0,110500.0,7930.0,6140.0,7170.0,107000.0,4635.0,8113.0,6220.0,4541.0,16650.0,8734.0,12300.0,27650.0,27000.0,,14650.0,17750.0,19000.0,13319.0,1560.0,21750.0,,,,,,,
2020-02-07,99300.0,3400.0,17200.0,60400.0,3503.0,108500.0,7910.0,6090.0,7070.0,106800.0,4690.0,7998.0,6240.0,4397.0,16350.0,8556.0,11800.0,28000.0,26350.0,,14050.0,17300.0,19000.0,13414.0,1505.0,21300.0,,,,,,,
2020-02-10,98800.0,3355.0,17250.0,59700.0,3486.0,110000.0,7810.0,6110.0,7080.0,106500.0,4715.0,7988.0,6640.0,4274.0,15900.0,8531.0,11800.0,27700.0,26250.0,,14800.0,17450.0,19000.0,13747.0,1500.0,21000.0,,,,,,,
2020-02-11,99800.0,3375.0,17550.0,59900.0,3534.0,113000.0,7850.0,6340.0,7340.0,111900.0,4700.0,7969.0,6640.0,4246.0,16050.0,8556.0,12700.0,28300.0,26450.0,,14600.0,17300.0,18950.0,13842.0,1530.0,21200.0,,,,,,,
2020-02-12,100000.0,3360.0,17600.0,60500.0,3672.0,111500.0,8110.0,6150.0,7440.0,109200.0,4665.0,8247.0,6900.0,4568.0,16500.0,8810.0,13100.0,28450.0,26650.0,,15450.0,17650.0,18950.0,13319.0,1620.0,22250.0,,,,,,,
2020-02-13,102000.0,3430.0,17400.0,60700.0,3598.0,107500.0,8130.0,6200.0,7490.0,110000.0,4945.0,8218.0,7430.0,4472.0,16200.0,8784.0,13450.0,28450.0,26800.0,,14850.0,19150.0,18700.0,13557.0,1715.0,21750.0,,,,,,,
2020-02-14,104500.0,3485.0,17950.0,61800.0,3676.0,108500.0,8150.0,6100.0,7550.0,111300.0,4930.0,8830.0,7760.0,4548.0,17350.0,8860.0,14700.0,29250.0,27300.0,,15050.0,20000.0,18850.0,13462.0,1750.0,23000.0,,,,,,,
2020-02-17,105000.0,3520.0,18300.0,61500.0,3663.0,108000.0,8580.0,6280.0,7800.0,113700.0,4970.0,8830.0,8250.0,4787.0,17600.0,8961.0,14400.0,30500.0,27500.0,,14700.0,20200.0,18850.0,13604.0,1765.0,22950.0,,,,,,,
2020-02-18,102000.0,3445.0,17600.0,59800.0,3572.0,105500.0,8450.0,6050.0,7490.0,105000.0,4845.0,8409.0,7850.0,4575.0,16650.0,8480.0,14000.0,28800.0,26700.0,,14500.0,19650.0,18500.0,13271.0,1665.0,21900.0,,,,,,,
2020-02-19,103500.0,3380.0,17550.0,60200.0,3516.0,106500.0,8500.0,6110.0,7410.0,108500.0,4900.0,8534.0,7990.0,4746.0,16750.0,8632.0,14300.0,28950.0,26400.0,,15150.0,19600.0,18700.0,13414.0,1700.0,22000.0,,,,,,,
2020-02-20,104000.0,3320.0,17700.0,60000.0,3460.0,106500.0,8370.0,6120.0,7420.0,108900.0,4885.0,8352.0,7710.0,4746.0,16450.0,8480.0,14350.0,29150.0,26250.0,,14650.0,19300.0,18550.0,13224.0,1690.0,21650.0,,,,,,,
2020-02-21,103000.0,3220.0,17050.0,59200.0,3395.0,103500.0,8380.0,6210.0,7120.0,108900.0,4780.0,7979.0,7940.0,4582.0,15950.0,8455.0,14100.0,27550.0,25300.0,,14100.0,18250.0,18050.0,13081.0,1710.0,21100.0,,,,,,,
2020-02-24,99500.0,3025.0,16400.0,56800.0,3205.0,99100.0,8540.0,5850.0,6890.0,101300.0,4595.0,7481.0,8170.0,4294.0,15250.0,8227.0,13600.0,26000.0,24750.0,,13150.0,17500.0,17500.0,13129.0,1590.0,19800.0,,,,,,,
2020-02-25,98000.0,3085.0,16650.0,57900.0,3222.0,96200.0,8630.0,6120.0,6940.0,104000.0,4835.0,7701.0,8120.0,4534.0,15900.0,8480.0,14200.0,26400.0,25500.0,,13750.0,17800.0,18000.0,13176.0,1665.0,20500.0,,,,,,,
2020-02-26,94600.0,3030.0,16400.0,56500.0,3235.0,96900.0,8350.0,5950.0,6740.0,101600.0,4840.0,7472.0,8370.0,4397.0,15400.0,8253.0,13650.0,25550.0,25200.0,,13250.0,17350.0,17800.0,11036.0,1625.0,20050.0,,,,,,,
2020-02-27,92800.0,2920.0,15400.0,55900.0,3105.0,96300.0,7830.0,5650.0,6390.0,94200.0,4555.0,6936.0,7670.0,4144.0,14650.0,7923.0,12700.0,24550.0,23550.0,,12900.0,16350.0,17200.0,9989.0,1560.0,18850.0,,,,,,,
2020-02-28,87900.0,2700.0,14750.0,54200.0,2794.0,92800.0,7290.0,5580.0,6040.0,88400.0,4330.0,6582.0,7580.0,3959.0,13650.0,7316.0,12150.0,23700.0,22850.0,,12600.0,16000.0,16050.0,9942.0,1500.0,17850.0,,,,,,,
2020-03-02,92100.0,2760.0,15200.0,55000.0,2924.0,93600.0,7600.0,5760.0,6210.0,94200.0,4560.0,7013.0,8150.0,4308.0,14600.0,7898.0,12650.0,24550.0,23250.0,,12900.0,16900.0,16850.0,9989.0,1550.0,18800.0,,,,,,,
2020-03-03,92800.0,2810.0,15000.0,55400.0,2941.0,93100.0,7540.0,5600.0,6190.0,91900.0,4535.0,7137.0,8140.0,4267.0,14850.0,7822.0,12600.0,24650.0,22850.0,,12600.0,16800.0,16650.0,10750.0,1540.0,19000.0,,,,,,,
2020-03-04,94300.0,2920.0,15450.0,57400.0,3040.0,94800.0,7650.0,5870.0,6370.0,93500.0,4625.0,7434.0,8990.0,4465.0,15550.0,8202.0,13500.0,26600.0,23450.0,,12900.0,17650.0,17550.0,11083.0,1585.0,19800.0,,,,,,,
