날짜,level,turnover,reason
2020-06-15,1000.0,0.0,regular
2020-06-16,1040.2530781971361,0.0,
2020-06-17,1045.4672738696208,0.29716245109790884,cap
2020-06-18,1047.309402109511,0.0,
2020-06-19,1057.9575901343007,0.0,
2020-06-22,1046.8062259220214,0.0,
2020-06-23,1033.3177112318197,0.0,
2020-06-24,1053.1996301315573,0.0,
2020-06-25,1030.7397582552749,0.0,
2020-06-26,1039.9468760944114,0.0,
2020-06-29,1017.8294977760263,0.0,
2020-06-30,1028.76183630814,0.0,
2020-07-01,1026.4378816252397,0.0,
2020-07-02,1021.6918203780322,0.012330896924795026,cap
2020-07-03,1054.29503804446,0.0,
2020-07-06,1075.4463206805854,0.0,
2020-07-07,1052.4372820258234,0.0,
2020-07-08,1066.246023321198,0.0,
2020-07-09,1069.0747057172614,0.0,
2020-07-10,1075.0274579116533,0.0,
2020-07-13,1091.9090672509938,0.0,
2020-07-14,1108.4251132267818,0.0,
2020-07-15,1109.9954910561264,0.0,
2020-07-16,1092.3482390956788,0.0,
2020-07-17,1138.663038676297,0.0,
2020-07-20,1125.2964250065854,0.0,
2020-07-21,1211.3041212990925,0.0,
2020-07-22,1217.691468645042,0.0,
2020-07-23,1226.7959414920742,0.0,
2020-07-24,1237.3126102122346,0.0,
2020-07-27,1256.5757208899804,0.0,
2020-07-28,1279.4135149435585,0.0,
2020-07-29,1287.0194068346825,0.0,
2020-07-30,1293.1795404364104,0.0,
2020-07-31,1255.187552655771,0.0,
2020-08-03,1260.2660611150532,0.0,
2020-08-04,1260.3643646695193,0.11273460591864357,cap
2020-08-05,1244.1534127464936,0.0,
2020-08-06,1247.3624109585276,0.0,
2020-08-07,1242.8510509322077,0.0,
2020-08-10,1250.8983723703918,0.0,
2020-08-11,1267.14746168039,0.0,
2020-08-12,1254.17951879792,0.0,
2020-08-13,1240.061996599935,0.0,
2020-08-14,1218.5241901761017,0.0,
2020-08-18,1191.6271823577981,0.0,
2020-08-19,1183.3697725042928,0.0,
2020-08-20,1118.5233823852884,0.0,
2020-08-21,1138.5108940450775,0.0,
2020-08-24,1145.8173917495149,0.0,
2020-08-25,1166.1131706370563,0.0,
2020-08-26,1168.4649761670316,0.0,
2020-08-27,1153.7706010320635,0.0,
2020-08-28,1151.4893396843784,0.0,
2020-08-31,1131.8186412217785,0.0,
2020-09-01,1138.9865730868823,0.0,
2020-09-02,1143.7264246480659,0.0219368867712936,cap
2020-09-03,1188.7068072362017,0.0,
2020-09-04,1175.6975451245091,0.0,
2020-09-07,1180.4899905296984,0.0,
2020-09-08,1230.5684761631924,0.0,
2020-09-09,1225.2647118563343,0.0,
2020-09-10,1227.3365185858295,0.0,
2020-09-11,1222.069279632499,0.0,
2020-09-14,1245.51203195985,0.0,
2020-09-15,1250.0576315820433,0.0,
2020-09-16,1238.7843556289442,0.0,
2020-09-17,1220.7027195329151,0.0,
2020-09-18,1226.875441195613,0.0,
2020-09-21,1220.9608302287927,0.0,
2020-09-22,1192.2420252802729,0.0,
2020-09-23,1214.062035365248,0.0,
2020-09-24,1200.8860885906263,0.0,
2020-09-25,1190.8161306315585,0.0,
2020-09-28,1207.5549530643586,0.0,
2020-09-29,1218.8306802625007,0.0,
2020-10-05,1221.9964722475615,0.0,
2020-10-06,1221.2383075628968,0.015094952525397637,cap
2020-10-07,1231.3482959831335,0.0,
