date,n,앵커,핵심,위성,최대단일,직전이벤트,이벤트,구조성분,드리프트성분
2020-06-15,3,0.8500000000000001,0.0,0.15,0.6301191413005246,2020-06-15,regular,0.45000000000000007,0.0
2020-06-16,3,0.8525788902988156,0.0,0.14742110970118438,0.6324421998016142,2020-06-15,,0.45000000000000007,0.0025788902988155282
2020-06-17,3,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,2020-06-17,cap,0.2666666666666666,0.0
2020-06-18,3,0.6638314084006729,0.0,0.33616859159932727,0.33616859159932727,2020-06-17,,0.2666666666666666,-0.002835258265993734
2020-06-19,3,0.6579003001987231,0.0,0.34209969980127697,0.34209969980127697,2020-06-17,,0.2666666666666666,-0.008766366467943487
2020-06-22,3,0.6572513048356752,0.0,0.3427486951643248,0.3427486951643248,2020-06-17,,0.2666666666666666,-0.009415361830991453
2020-06-23,3,0.6588460138954753,0.0,0.3411539861045248,0.3411539861045248,2020-06-17,,0.2666666666666666,-0.007820652771191372
2020-06-24,3,0.6631596773623207,0.0,0.3368403226376794,0.3368403226376794,2020-06-17,,0.2666666666666666,-0.0035069893043458977
2020-06-25,3,0.6645113259862038,0.0,0.3354886740137962,0.336153017912966,2020-06-17,,0.2666666666666666,-0.0021553406804628583
2020-06-26,3,0.6687737283521239,0.0,0.3312262716478761,0.3421643348562133,2020-06-17,,0.2666666666666666,0.0021070616854572677
2020-06-29,3,0.6734584399656034,0.0,0.3265415600343966,0.3436963649614859,2020-06-17,,0.2666666666666666,0.006791773298936765
2020-06-30,3,0.67475146592739,0.0,0.3252485340726099,0.3426397642177472,2020-06-17,,0.2666666666666666,0.008084799260723363
2020-07-01,3,0.6757606403330564,0.0,0.32423935966694356,0.34211471738211563,2020-06-17,,0.2666666666666666,0.009093973666389754
2020-07-02,3,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,2020-07-02,cap,0.2666666666666666,0.0
2020-07-03,3,0.65415229163117,0.0,0.3458477083688301,0.3458477083688301,2020-07-02,,0.2666666666666666,-0.012514375035496683
