정책,유지선,심사일,구성 종목수,기존 비앵커,버퍼발동,발동 종목
none,0.30/0.70,2020-06-15,3,0,0,
none,0.30/0.70,2020-12-14,3,1,0,
none,0.30/0.70,2021-06-14,3,1,0,
none,0.30/0.70,2021-12-13,3,1,0,
none,0.30/0.70,2022-06-13,3,1,0,
none,0.30/0.70,2022-12-12,3,1,0,
none,0.30/0.70,2023-06-12,3,1,0,
none,0.30/0.70,2023-12-18,3,1,0,
none,0.30/0.70,2024-06-17,4,1,0,
none,0.30/0.70,2024-12-16,4,2,0,
none,0.30/0.70,2025-06-16,6,2,0,
none,0.30/0.70,2025-12-15,6,4,0,
none,0.30/0.70,2026-06-15,7,4,0,
narrow,0.29/0.69,2020-06-15,3,0,0,
narrow,0.29/0.69,2020-12-14,3,1,0,
narrow,0.29/0.69,2021-06-14,3,1,0,
narrow,0.29/0.69,2021-12-13,3,1,0,
narrow,0.29/0.69,2022-06-13,3,1,0,
narrow,0.29/0.69,2022-12-12,3,1,0,
narrow,0.29/0.69,2023-06-12,3,1,0,
narrow,0.29/0.69,2023-12-18,3,1,0,
narrow,0.29/0.69,2024-06-17,4,1,0,
narrow,0.29/0.69,2024-12-16,4,2,0,
narrow,0.29/0.69,2025-06-16,6,2,0,
narrow,0.29/0.69,2025-12-15,6,4,0,
narrow,0.29/0.69,2026-06-15,7,4,0,
mid,0.27/0.67,2020-06-15,3,0,0,
mid,0.27/0.67,2020-12-14,3,1,0,
mid,0.27/0.67,2021-06-14,3,1,0,
mid,0.27/0.67,2021-12-13,3,1,0,
mid,0.27/0.67,2022-06-13,3,1,0,
mid,0.27/0.67,2022-12-12,3,1,0,
mid,0.27/0.67,2023-06-12,3,1,0,
mid,0.27/0.67,2023-12-18,3,1,0,
mid,0.27/0.67,2024-06-17,4,1,0,
mid,0.27/0.67,2024-12-16,4,2,0,
mid,0.27/0.67,2025-06-16,6,2,0,
mid,0.27/0.67,2025-12-15,6,4,0,
mid,0.27/0.67,2026-06-15,7,4,0,
wide,0.25/0.65,2020-06-15,3,0,0,
wide,0.25/0.65,2020-12-14,3,1,0,
wide,0.25/0.65,2021-06-14,3,1,0,
wide,0.25/0.65,2021-12-13,3,1,0,
wide,0.25/0.65,2022-06-13,3,1,0,
wide,0.25/0.65,2022-12-12,3,1,0,
wide,0.25/0.65,2023-06-12,3,1,0,
wide,0.25/0.65,2023-12-18,3,1,0,
wide,0.25/0.65,2024-06-17,4,1,0,
wide,0.25/0.65,2024-12-16,4,2,0,
wide,0.25/0.65,2025-06-16,6,2,0,
wide,0.25/0.65,2025-12-15,6,4,0,
wide,0.25/0.65,2026-06-15,7,4,0,
