date,n,one_way_turnover,anchor_before,anchor_after
2020-09-01,3,0.29063670586228635,0.6888256121950009,0.8499999999999999
2021-03-02,3,0.3221454694047668,0.654649325165181,0.8500000000000001
2021-09-01,3,0.29527258544364143,0.6690242571449971,0.8500000000000001
2022-03-02,3,0.2851667360413408,0.6910702548005243,0.85
2022-09-01,3,0.29121049467472837,0.6823515690440287,0.8499999999999999
2023-03-02,3,0.31497417477315803,0.6364320793241902,0.8499999999999999
2023-09-01,3,0.31406749750612434,0.6297025467215456,0.85
2024-03-04,3,0.3522034055460085,0.5813537208278188,0.8500000000000001
2024-09-02,4,0.22212136340525707,0.5323822521228369,0.6699999999999999
2025-03-04,4,0.22903170002246898,0.4897993353997021,0.6700000000000002
2025-09-01,6,0.14111877748001428,0.5176068821602786,0.6400000000000001
2026-03-03,6,0.17492769431859007,0.49112754590845276,0.64
