effective_date,seq,reason,one_way_turnover,n_members
2020-06-15,0,regular,0.0,3
2020-06-17,0,cap,0.29716245109790884,3
2020-07-02,0,cap,0.012330896924795026,3
2020-08-04,0,cap,0.11273460591864357,3
2020-09-02,0,cap,0.0219368867712936,3
2020-10-06,0,cap,0.015094952525397637,3
2020-11-03,0,cap,0.014019897933037623,3
2020-12-02,0,cap,0.031049834112731656,3
2020-12-14,0,regular,0.3051264737721489,3
2020-12-16,0,cap,0.2870930173877187,3
2021-01-05,0,cap,0.0040876067372006275,3
2021-02-02,0,cap,0.027135754631205183,3
2021-03-03,0,cap,0.027079708282490983,3
2021-04-02,0,cap,0.03891173779982826,3
2021-05-04,0,cap,0.06490249081817062,3
2021-06-02,0,cap,0.006190900033760022,3
2021-06-14,0,regular,0.29944465725857067,3
2021-06-16,0,cap,0.29709462199727743,3
2021-07-02,0,cap,0.02340289326797354,3
2021-08-03,0,cap,0.011429227898514666,3
2021-09-02,0,cap,0.00893937244499557,3
2021-10-05,0,cap,0.020004294726447908,3
2021-11-02,0,cap,0.021891613973855972,3
2021-12-02,0,cap,0.01494026509173027,3
2021-12-13,0,regular,0.2975545442249049,3
2021-12-15,0,cap,0.29840816506569545,3
2022-01-04,0,cap,0.005626056062107476,3
2022-02-04,0,cap,0.013123452562810556,3
2022-03-03,0,cap,0.02512354660332733,3
2022-04-04,0,cap,0.023571645711436023,3
2022-05-03,0,cap,0.023333709442555473,3
2022-06-03,0,cap,0.0034910519793150685,3
2022-06-13,0,regular,0.2944439644197357,3
2022-06-15,0,cap,0.29426613870511237,3
2022-07-04,0,cap,0.006882788901036524,3
2022-08-02,0,cap,0.0008753160611675859,3
2022-09-02,0,cap,0.00947867572969674,3
2022-10-05,0,cap,0.005283173157712845,3
2022-11-02,0,cap,0.02330003278941775,3
2022-12-02,0,cap,0.02944616043277931,3
2022-12-12,0,regular,0.3030662800579539,3
2022-12-14,0,cap,0.3048457343296054,3
2023-01-03,0,cap,0.004761243092550077,3
2023-02-02,0,cap,0.015950968107539154,3
2023-03-03,0,cap,0.030081622660222906,3
2023-04-04,0,cap,0.04435068609640838,3
2023-05-03,0,cap,0.03435606403042163,3
2023-06-02,0,cap,0.02372428596114426,3
2023-06-12,0,regular,0.311416925138173,3
2023-06-14,0,cap,0.29866153227639786,3
2023-07-04,0,cap,0.039873902909953685,3
2023-08-02,0,cap,0.10900620487994003,3
2023-09-04,0,cap,0.03620851642180356,3
2023-10-05,0,cap,0.019551615743898326,3
2023-11-02,0,cap,0.00784329635366321,3
2023-12-04,0,cap,0.0009754989874272979,3
2023-12-18,0,regular,0.2921876892159498,3
2023-12-20,0,cap,0.2933035639080312,3
2024-01-03,0,cap,0.010575489538326072,3
2024-02-02,0,cap,0.003816678097351034,3
2024-03-05,0,cap,0.08609627768660866,3
2024-04-02,0,cap,0.06931613504294953,3
2024-05-03,0,cap,0.006783743089646493,3
2024-06-04,0,cap,0.03286444859323773,3
2024-06-17,0,regular,0.304825857579834,4
2024-06-19,0,cap,0.21581282424141637,4
2024-07-02,0,cap,0.05305640250145324,4
2024-08-02,0,cap,0.0929006857446976,4
2024-11-04,0,cap,0.08318771255358588,4
2024-12-16,0,regular,0.20491929702019873,4
2024-12-18,0,cap,0.18995406176827434,4
2025-06-16,0,regular,0.37759805804830154,6
2025-06-18,0,cap,0.18013186225218808,6
2025-07-02,0,cap,0.060776173505332716,6
2025-12-02,0,cap,0.06220735333643092,6
2025-12-15,0,regular,0.10724910263808152,6
2025-12-17,0,cap,0.15532347981174294,6
2026-03-04,0,cap,0.10014888730734336,6
2026-05-06,0,cap,0.08178514663826807,6
2026-06-02,0,cap,0.20113830632240332,6
2026-06-15,0,regular,0.20607193347236083,7
