band_pp,date,one_way_turnover,deviation_at_trigger
3.0,2020-06-19,0.19209969980127703,-0.18333333333333346
3.0,2020-06-25,0.1777397910355849,-0.18333333333333346
3.0,2020-07-01,0.1809693925667209,-0.18333333333333346
3.0,2020-07-07,0.1856610065492059,-0.18333333333333346
3.0,2020-07-13,0.19258112891694437,-0.18333333333333346
3.0,2020-07-17,0.1999963968077811,-0.18333333333333346
3.0,2020-07-23,0.20084943621665163,-0.18333333333333346
3.0,2020-07-29,0.17885119045333,-0.18333333333333346
3.0,2020-08-04,0.1917196400953681,-0.18333333333333346
3.0,2020-08-10,0.18519932287669474,-0.18333333333333346
3.0,2020-08-14,0.17271181795981608,-0.18333333333333346
3.0,2020-08-21,0.17035455790666718,-0.18333333333333346
3.0,2020-08-27,0.17094517909715673,-0.18333333333333346
3.0,2020-09-02,0.18628689262835302,-0.18333333333333346
3.0,2020-09-08,0.1926441131549941,-0.18333333333333346
3.0,2020-09-14,0.17245589741929754,-0.18333333333333346
3.0,2020-09-18,0.17719912733109586,-0.18333333333333346
3.0,2020-09-24,0.1778336192730135,-0.18333333333333346
3.0,2020-10-05,0.1857014262684485,-0.18333333333333346
3.0,2020-10-12,0.19097495142442955,-0.18333333333333346
3.0,2020-10-16,0.18947030542253745,-0.18333333333333346
3.0,2020-10-22,0.18222158232607502,-0.18333333333333346
3.0,2020-10-28,0.1929330851475806,-0.18333333333333346
3.0,2020-11-03,0.18108194054351068,-0.18333333333333346
3.0,2020-11-09,0.18657227959512737,-0.18333333333333346
3.0,2020-11-13,0.18434471269143182,-0.18333333333333346
3.0,2020-11-19,0.18771075865049663,-0.18333333333333346
3.0,2020-11-25,0.18002918152762995,-0.18333333333333346
3.0,2020-12-01,0.18296751196212485,-0.18333333333333346
3.0,2020-12-07,0.17476422065602995,-0.18333333333333346
3.0,2020-12-11,0.1944569435901227,-0.18333333333333346
3.0,2020-12-18,0.18913848661434757,-0.18333333333333335
3.0,2020-12-24,0.1693615142963721,-0.18333333333333335
3.0,2021-01-04,0.17205374267252938,-0.18333333333333335
3.0,2021-01-08,0.1678720564782906,-0.18333333333333335
3.0,2021-01-14,0.1869536631211007,-0.18333333333333335
3.0,2021-01-20,0.18281523650872145,-0.18333333333333335
3.0,2021-01-26,0.18676391603836034,-0.18333333333333335
3.0,2021-02-01,0.1869117147886215,-0.18333333333333335
3.0,2021-02-05,0.18021679788050018,-0.18333333333333335
3.0,2021-02-15,0.18967131885724345,-0.18333333333333335
3.0,2021-02-19,0.2098482416376661,-0.18333333333333335
3.0,2021-02-25,0.16742630973520373,-0.18333333333333335
3.0,2021-03-05,0.18683747636821066,-0.18333333333333335
3.0,2021-03-11,0.1941544296067248,-0.18333333333333335
3.0,2021-03-17,0.17937545282001768,-0.18333333333333335
3.0,2021-03-23,0.18194408596795075,-0.18333333333333335
3.0,2021-03-29,0.18270551131255916,-0.18333333333333335
3.0,2021-04-02,0.19024764639994085,-0.18333333333333335
3.0,2021-04-08,0.19211715342366079,-0.18333333333333335
3.0,2021-04-14,0.17415388179672747,-0.18333333333333335
3.0,2021-04-20,0.19224811333245057,-0.18333333333333335
3.0,2021-04-26,0.20855491583557687,-0.18333333333333335
3.0,2021-04-30,0.18235010173613303,-0.18333333333333335
3.0,2021-05-07,0.18103320261685985,-0.18333333333333335
3.0,2021-05-13,0.18416787567216975,-0.18333333333333335
3.0,2021-05-20,0.18910753780876982,-0.18333333333333335
3.0,2021-05-26,0.1748405311031879,-0.18333333333333335
3.0,2021-06-01,0.17219246112363118,-0.18333333333333335
3.0,2021-06-07,0.18048146237739318,-0.18333333333333335
3.0,2021-06-11,0.18122273941265724,-0.18333333333333335
3.0,2021-06-18,0.19016792478743266,-0.18333333333333335
3.0,2021-06-24,0.17709878651466499,-0.18333333333333335
3.0,2021-06-30,0.19102348006470954,-0.18333333333333335
3.0,2021-07-06,0.17479134365635,-0.18333333333333335
3.0,2021-07-12,0.18302862866847852,-0.18333333333333335
3.0,2021-07-16,0.18703070109760114,-0.18333333333333335
3.0,2021-07-22,0.19131852023299775,-0.18333333333333335
3.0,2021-07-28,0.1853428627652599,-0.18333333333333335
3.0,2021-08-03,0.17723289088420413,-0.18333333333333335
3.0,2021-08-09,0.18940919740588302,-0.18333333333333335
3.0,2021-08-13,0.18592347123286376,-0.18333333333333335
3.0,2021-08-20,0.1759984814921307,-0.18333333333333335
3.0,2021-08-26,0.18878580984501017,-0.18333333333333335
3.0,2021-09-01,0.17445822775235428,-0.18333333333333335
