구성,CAGR,연변동성,MDD,Sharpe(rf=0),연율화회전율,정기 평균종목수,캡 발동,최종레벨,비고
① 규칙 0 (앵커만),,,,,,,,,산출 불가 - 비앵커(핵심·위성) 편입 종목이 없어 60%를 배분할 수 없습니다 - 지수 구성 요
② + 규칙 A (핵심군),,,,,,,,,산출 불가 - 비앵커(핵심·위성) 편입 종목이 없어 60%를 배분할 수 없습니다 - 지수 구성 요
③ + 규칙 C (위성군),0.48777643130449455,0.3775578769406606,-0.4160547011111434,1.2919249235559098,0.21715746669903982,3.923076923076923,0.0,11296.408461900688,
④ + 버퍼 27/67,0.48777643130449455,0.3775578769406606,-0.4160547011111434,1.2919249235559098,0.21715746669903982,3.923076923076923,0.0,11296.408461900688,
⑤ + 월간 캡 (현행),0.6453557238013659,0.41789839904491827,-0.4518149080409437,1.5442885765446521,1.3720091283361402,3.923076923076923,68.0,20881.519766449783,
