구간시작,구간끝,거래일,이벤트,앵커_시작,앵커_끝,앵커_최소,앵커_최대,드리프트_최대
2020-06-15,2020-06-16,2,regular,0.8500000000000001,0.8525788902988156,0.8500000000000001,0.8525788902988156,0.0025788902988155282
2020-06-17,2020-07-01,11,cap,0.6666666666666666,0.6757606403330564,0.6572513048356752,0.6757606403330564,0.009415361830991453
2020-07-02,2020-08-03,23,cap,0.6666666666666666,0.5520614527388237,0.550745936600928,0.6666666666666666,0.11592073006573866
2020-08-04,2020-09-01,20,cap,0.6666666666666666,0.6888256121950009,0.6666666666666666,0.7062991591131742,0.03963249244650757
2020-09-02,2020-10-05,21,cap,0.6666666666666666,0.6804445835520778,0.65259857922051,0.6922811069960534,0.025614440329386756
2020-10-06,2020-11-02,19,cap,0.6666666666666666,0.6494332284355654,0.6494332284355654,0.6791643972115282,0.01723343823110124
2020-11-03,2020-12-01,21,cap,0.6666666666666666,0.6785321710908429,0.6645593174126825,0.6786951775689236,0.012028510902256984
2020-12-02,2020-12-11,8,cap,0.6666666666666666,0.6575324829570883,0.6575324829570883,0.6832299945416409,0.016563327874974276
2020-12-14,2020-12-15,2,regular,0.85,0.8459881142193332,0.8459881142193332,0.85,0.004011885780666802
2020-12-16,2021-01-04,11,cap,0.6666666666666666,0.6568408873554575,0.6450279140180863,0.6666666666666666,0.021638752648580284
2021-01-05,2021-02-01,20,cap,0.6666666666666666,0.6330847120409275,0.6322606511904711,0.6864614684227396,0.034406015476195484
2021-02-02,2021-03-02,18,cap,0.6666666666666666,0.654649325165181,0.6251083021086794,0.6711421444789496,0.041558364557987226
2021-03-03,2021-04-01,22,cap,0.6666666666666666,0.628647574974647,0.6243880751604929,0.6773181348805632,0.042278591506173746
2021-04-02,2021-05-03,22,cap,0.6666666666666666,0.5978382688852171,0.5717900893076723,0.6666666666666666,0.09487657735899435
2021-05-04,2021-06-01,19,cap,0.6666666666666666,0.6697456370148233,0.6481178338309302,0.6745363035349679,0.018548832835736384
2021-06-02,2021-06-11,8,cap,0.6666666666666666,0.6666849929601079,0.6595206521934115,0.6666849929601079,0.007146014473255136
2021-06-14,2021-06-15,2,regular,0.85,0.8493154184825837,0.8493154184825837,0.85,0.0006845815174162384
2021-06-16,2021-07-01,12,cap,0.6666666666666666,0.6566114379031254,0.6566114379031254,0.6715495264191544,0.010055228763541257
2021-07-02,2021-08-02,22,cap,0.6666666666666666,0.6497842003039519,0.6353459290673089,0.6811193941094174,0.03132073759935772
2021-08-03,2021-09-01,21,cap,0.6666666666666666,0.6690242571449971,0.6507076142282149,0.6745631803863648,0.01595905243845175
2021-09-02,2021-10-01,19,cap,0.6666666666666666,0.6795284375072208,0.6666666666666666,0.6815307822750724,0.014864115608405726
2021-10-05,2021-11-01,19,cap,0.6666666666666666,0.6550348017418901,0.6455219745718797,0.6754158626529025,0.021144692094786977
2021-11-02,2021-12-01,22,cap,0.6666666666666666,0.6595818946579033,0.639043380418568,0.668060415348054,0.027623286248098622
2021-12-02,2021-12-10,7,cap,0.6666666666666666,0.6723907537026999,0.659073977537459,0.6744985955821154,0.007831928915448816
2021-12-13,2021-12-14,2,regular,0.85,0.8502822033457677,0.85,0.8502822033457677,0.00028220334576767314
2021-12-15,2022-01-03,13,cap,0.6666666666666666,0.663902616182934,0.663902616182934,0.6782782595523974,0.01161159288573077
2022-01-04,2022-02-03,20,cap,0.6666666666666666,0.657788144678788,0.650876211712267,0.6836539205067071,0.016987253840040517
2022-02-04,2022-03-02,18,cap,0.6666666666666666,0.6910702548005243,0.6614426457480135,0.7030642390599486,0.03639757239328201
2022-03-03,2022-04-01,21,cap,0.6666666666666666,0.6417934802916707,0.6417934802916707,0.6714031137768216,0.024873186374995915
