구성,CAGR,연변동성,MDD,Sharpe(rf=0),연율화회전율,정기 평균종목수,캡 발동,최종레벨,비고
현행 − 규칙 A,0.6550128733500873,0.4152231958271009,-0.4012624175505284,1.5774958623044628,1.6186034306640344,3.3076923076923075,79.0,21640.757797343733,
현행 − 규칙 C,,,,,,,,,산출 불가 - 비앵커(핵심·위성) 편입 종목이 없어 60%를 배분할 수 없습니다 - 지수 구성 요
현행 − 버퍼,0.6453557238013659,0.41789839904491827,-0.4518149080409437,1.5442885765446521,1.3720091283361402,3.923076923076923,68.0,20881.519766449783,
현행 − 캡,0.48777643130449455,0.3775578769406606,-0.4160547011111434,1.2919249235559098,0.21715746669903982,3.923076923076923,0.0,11296.408461900688,
