date,n,HHI,유효종목수,최대비중,상위3비중,5%초과합계,앵커합계,핵심합계,위성합계
2020-06-15,3,0.46789772425572923,2.137219200180274,0.6301191413005246,1.0,1.0,0.8500000000000001,0.0,0.15
2020-06-16,3,0.47017628217849416,2.1268618556568697,0.6324421998016142,1.0,1.0,0.8525788902988156,0.0,0.14742110970118438
2020-06-17,3,0.3333333333333333,3.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333
2020-06-18,3,0.33334970594128477,2.9998526537657635,0.3361685915993272,1.0,0.9999999999999999,0.6638314084006727,0.0,0.3361685915993272
2020-06-19,3,0.33349594438084706,2.998537214167786,0.34209969980127697,1.0,1.0,0.6579003001987231,0.0,0.34209969980127697
2020-06-22,3,0.3334843767298329,2.998641225133417,0.3427486951643248,1.0,1.0,0.6572513048356752,0.0,0.3427486951643248
2020-06-23,3,0.33343923884594595,2.9990471531216976,0.3411539861045248,1.0,1.0,0.6588460138954753,0.0,0.3411539861045248
2020-06-24,3,0.3333798079624414,2.999581786646959,0.3368403226376794,1.0,1.0,0.6631596773623207,0.0,0.3368403226376794
2020-06-25,3,0.3333706803242493,2.999663914737076,0.336153017912966,1.0,1.0,0.6645113259862038,0.0,0.3354886740137962
2020-06-26,3,0.333460970997114,2.998851700724684,0.3421643348562133,1.0,1.0,0.6687737283521239,0.0,0.3312262716478761
2020-06-29,3,0.3334996078284576,2.998504275646317,0.3436963649614859,1.0,1.0,0.6734584399656034,0.0,0.3265415600343966
2020-06-30,3,0.33348679935204995,2.998619441438029,0.3426397642177473,1.0,1.0,0.6747514659273901,0.0,0.32524853407260995
2020-07-01,3,0.33349324410845954,2.998561493122114,0.34211471738211563,1.0,1.0,0.6757606403330564,0.0,0.32423935966694356
2020-07-02,3,0.3333333333333333,3.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333
2020-07-03,3,0.33356834766654425,2.9978863612073363,0.3458477083688301,1.0,1.0,0.65415229163117,0.0,0.3458477083688301
2020-07-06,3,0.33368115322231495,2.996872884018566,0.3480812508195398,1.0,1.0,0.6519187491804603,0.0,0.3480812508195398
2020-07-07,3,0.33366677543415413,2.99700202005081,0.34821686773184707,0.9999999999999999,1.0,0.6517831322681529,0.0,0.34821686773184707
2020-07-08,3,0.3346798778911164,2.9879298579322913,0.36323599701503356,1.0,1.0,0.6367640029849664,0.0,0.36323599701503356
2020-07-09,3,0.33522764133695804,2.9830475673539047,0.3687672867079331,1.0,1.0,0.631232713292067,0.0,0.3687672867079331
2020-07-10,3,0.3357784683742814,2.978154033644982,0.37361217099649807,1.0,1.0,0.6263878290035019,0.0,0.37361217099649807
2020-07-13,3,0.33641691052042094,2.9725021802650993,0.37843024061512476,1.0,1.0,0.6215697593848752,0.0,0.37843024061512476
2020-07-14,3,0.33750899033217163,2.9628840375950105,0.38573270402705334,1.0,1.0,0.6142672959729467,0.0,0.38573270402705334
2020-07-15,3,0.3368646947525804,2.9685509214151327,0.3810182943055846,1.0,1.0,0.6189817056944154,0.0,0.3810182943055846
2020-07-16,3,0.33631731964941614,2.973382402792755,0.3774308877006805,1.0,1.0,0.6225691122993195,0.0,0.3774308877006805
2020-07-17,3,0.3398284195976168,2.9426614795315755,0.39865262783459926,1.0,1.0,0.6013473721654008,0.0,0.39865262783459926
2020-07-20,3,0.33918531338369423,2.9482408599124015,0.3951639299743664,1.0,1.0,0.6048360700256337,0.0,0.3951639299743664
2020-07-21,3,0.3462903156421532,2.887750407185433,0.4259342070328211,1.0,1.0,0.574065792967179,0.0,0.4259342070328211
2020-07-22,3,0.34895904188458093,2.865665823127611,0.4350999874481769,1.0,1.0,0.5649000125518231,0.0,0.4350999874481769
2020-07-23,3,0.3521446041045991,2.839742504482521,0.4450722571880243,1.0,1.0,0.5549277428119758,0.0,0.4450722571880243
2020-07-24,3,0.3520881590212736,2.8401977583676103,0.4450290586967335,1.0,1.0,0.5549709413032665,0.0,0.4450290586967335
2020-07-27,3,0.353669705803494,2.8274969090952338,0.449254063399072,1.0,1.0,0.550745936600928,0.0,0.449254063399072
2020-07-28,3,0.3519250168208744,2.8415143914278422,0.4430431253707133,1.0,1.0,0.5569568746292867,0.0,0.4430431253707133
2020-07-29,3,0.3522981052174474,2.8385051897533606,0.44402018082614086,1.0,1.0,0.5559798191738592,0.0,0.44402018082614086
2020-07-30,3,0.3508168975568735,2.8504898337682913,0.44011597634287875,1.0,1.0,0.5598840236571212,0.0,0.44011597634287875
2020-07-31,3,0.34988030417285026,2.8581203002097917,0.43684822348062474,1.0,1.0,0.5631517765193752,0.0,0.43684822348062474
2020-08-03,3,0.3534338193591119,2.82938401823945,0.44793854726117627,1.0,1.0,0.5520614527388237,0.0,0.44793854726117627
2020-08-04,3,0.3333333333333333,3.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333
2020-08-05,3,0.3333444456494161,2.9998999924892003,0.33531931479694166,1.0,1.0,0.6692715092095864,0.0,0.33072849079041367
2020-08-06,3,0.33347391520248787,2.9987352965607292,0.3409224335672597,1.0,1.0,0.6756665124339059,0.0,0.3243334875660942
2020-08-07,3,0.33340954341068824,2.9993142660833105,0.33921027550834015,1.0,1.0,0.6730981596094074,0.0,0.3269018403905925
2020-08-10,3,0.33341711441912997,2.999246159700507,0.338786463818435,1.0,1.0,0.6738190729403271,0.0,0.32618092705967305
2020-08-11,3,0.3333542478574623,2.9998117810923657,0.3367565607803275,1.0,1.0,0.6670866157862123,0.0,0.33291338421378763
2020-08-12,3,0.33358398517980636,2.9977458284185503,0.34491536878424217,1.0,1.0,0.6774294310014038,0.0,0.3225705689985962
2020-08-13,3,0.33376382046420794,2.9961306129860703,0.34706829469722156,1.0,1.0,0.6821223190217133,0.0,0.3178776809782868
2020-08-14,3,0.3340579991189965,2.993492155964764,0.34899087938734114,1.0,1.0,0.6878544752691343,0.0,0.31214552473086576
2020-08-18,3,0.33493209652293526,2.9856798150472947,0.35932934398365124,1.0,1.0,0.6967683899356636,0.0,0.3032316100643365
2020-08-19,3,0.33431242843821074,2.991213951188252,0.3581191999477606,1.0,1.0,0.684425526228271,0.0,0.3155744737717291
2020-08-20,3,0.33495811798091135,2.9854478704020786,0.36314906993980894,1.0,1.0,0.6936434500723048,0.0,0.3063565499276953
2020-08-21,3,0.33497064435806034,2.9853362282429425,0.35999366316531733,1.0,1.0,0.6968958144603614,0.0,0.30310418553963864
2020-08-24,3,0.3350218818988903,2.9848796572093765,0.3589778814454678,1.0,1.0,0.6982250595009601,0.0,0.3017749404990399
2020-08-25,3,0.3346095276513781,2.988558057563372,0.3546162576628464,1.0,1.0,0.6945816637334218,0.0,0.30541833626657816
2020-08-26,3,0.3351357338828091,2.9838656368099556,0.3539025105734588,1.0,1.0,0.7011149053728836,0.0,0.29888509462711654
2020-08-27,3,0.3356894972478733,2.9789433634308775,0.3533259715295192,1.0,1.0,0.7062991591131742,0.0,0.2937008408868258
2020-08-28,3,0.33507377045905806,2.984417427332432,0.3527524849952002,1.0,1.0,0.7006123926541827,0.0,0.29938760734581726
2020-08-31,3,0.33428726778516704,2.991439089575675,0.34981397549948456,1.0,1.0,0.691437521657039,0.0,0.30856247834296113
2020-09-01,3,0.3341101307521739,2.9930250775357354,0.3488999610117497,1.0000000000000002,1.0000000000000002,0.6888256121950012,0.0,0.311174387804999
2020-09-02,3,0.3333333333333333,3.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333
2020-09-03,3,0.333334994889776,2.999985046066556,0.33431351318436264,1.0,1.0,0.6668247719297969,0.0,0.3331752280702031
2020-09-04,3,0.33336654540831995,2.999701121104285,0.33801274019944977,1.0,1.0,0.6694346235635955,0.0,0.33056537643640443
2020-09-07,3,0.3333586728702745,2.999771961502699,0.33541937050724646,1.0,1.0,0.6707766226759357,0.0,0.32922337732406426
2020-09-08,3,0.33343378603336005,2.9990961980677926,0.33988839288640377,1.0,1.0000000000000002,0.6601116071135964,0.0,0.33988839288640377
2020-09-09,3,0.33374971460940916,2.99625724375618,0.34740142077948993,1.0,1.0,0.65259857922051,0.0,0.34740142077948993
2020-09-10,3,0.3338677696298598,2.9951977727848456,0.3468149894377122,1.0,1.0,0.6531850105622877,0.0,0.3468149894377122
2020-09-11,3,0.3334656849743117,2.9988093080013143,0.3383437710200392,1.0,1.0,0.662290936728789,0.0,0.33770906327121103
2020-09-14,3,0.3334629150138461,2.998834218067331,0.33985292498166886,1.0,1.0,0.6641895614274875,0.0,0.3358104385725124
2020-09-15,3,0.3334521470977965,2.9989310571352084,0.34198085985971255,1.0,1.0,0.6728130917095809,0.0,0.3271869082904192
2020-09-16,3,0.333586061393393,2.997727170682696,0.34509297908075265,1.0,1.0,0.67730538425987,0.0,0.32269461574013014
2020-09-17,3,0.3336700492049703,2.996972615260741,0.3415930722913115,1.0000000000000002,1.0000000000000002,0.6816219908741177,0.0,0.3183780091258825
2020-09-18,3,0.33376113076800035,2.996154758041933,0.34449183562195074,1.0,1.0,0.6832238314260344,0.0,0.3167761685739657
2020-09-21,3,0.3341463294739346,2.9927008373078836,0.34946921644324813,1.0,1.0,0.6892681221634759,0.0,0.3107318778365241
2020-09-22,3,0.333922294296695,2.99470870043641,0.34433412731571866,1.0,1.0,0.6864400234244482,0.0,0.31355997657555185
2020-09-23,3,0.3339373350458532,2.9945738168590497,0.3477117346899766,1.0,1.0,0.6859780386472101,0.0,0.31402196135279
2020-09-24,3,0.33442654850472703,2.9901932261991613,0.35447018308771344,1.0,1.0,0.6917792578156794,0.0,0.3082207421843206
2020-09-25,3,0.3343755989487537,2.9906488486118863,0.3515311140133519,1.0,1.0,0.6922811069960534,0.0,0.30771889300394667
2020-09-28,3,0.33374755207178136,2.9962766581878126,0.3449856207482136,1.0,1.0,0.6827532936826445,0.0,0.3172467063173555
2020-09-29,3,0.3338059205903119,2.9957527362953047,0.34800850448089715,1.0,1.0,0.682651398725363,0.0,0.31734860127463704
2020-10-05,3,0.3336436962524546,2.9972093320874276,0.3438011483371033,1.0,1.0,0.6804445835520778,0.0,0.3195554164479221
2020-10-06,3,0.3333333333333333,3.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333
2020-10-07,3,0.3333413110965077,2.9999282018497966,0.3356394965682414,1.0,1.0,0.6678292318325751,0.0,0.3321707681674248
2020-10-08,3,0.3333448447319166,2.999896400990459,0.336093928048185,1.0,1.0,0.6678468717781758,0.0,0.3321531282218243
2020-10-12,3,0.33339834357694986,2.999415021896158,0.33980891152335346,1.0,1.0,0.6601910884766466,0.0,0.33980891152335346
2020-10-13,3,0.33347576037939575,2.9987187040590264,0.3413585846402762,1.0,1.0,0.6586414153597238,0.0,0.3413585846402762
2020-10-14,3,0.3333970927827986,2.999426274696041,0.33959042149745367,1.0,1.0,0.6604095785025464,0.0,0.33959042149745367
2020-10-15,3,0.33340197145130906,2.9993823841141944,0.3369971479953996,1.0,1.0,0.663574002383905,0.0,0.33642599761609504
2020-10-16,3,0.333584730035838,2.9977391347996267,0.3457777955518119,1.0,1.0,0.6542222044481882,0.0,0.3457777955518119
2020-10-19,3,0.333575099698375,2.997825679747137,0.34497327229263197,1.0,1.0,0.655026727707368,0.0,0.34497327229263197
2020-10-20,3,0.3333715300925353,2.999656268555464,0.33826756168124045,1.0,1.0000000000000002,0.6617324383187597,0.0,0.33826756168124045
2020-10-21,3,0.3334288404964869,2.9991406817447643,0.34011155227237155,1.0,1.0,0.6598884477276284,0.0,0.34011155227237155
2020-10-22,3,0.3333672588630168,2.9996947013051085,0.3371447914216375,1.0,1.0,0.6628552085783626,0.0,0.3371447914216375
2020-10-23,3,0.33345274864269553,2.9989256470982926,0.3392791781399506,1.0,1.0,0.6754009128616751,0.0,0.3245990871383248
2020-10-26,3,0.3335931574437527,2.9976634043179096,0.3431553070047202,1.0,1.0,0.6791643972115282,0.0,0.3208356027884718
2020-10-27,3,0.33348870185653473,2.9986023347507444,0.3411916900005958,1.0,1.0,0.6761966426638716,0.0,0.32380335733612836
2020-10-28,3,0.3333474282582292,2.9998731510397167,0.33506343713956177,1.0000000000000002,1.0000000000000002,0.6697231833910036,0.0,0.3302768166089966
2020-10-29,3,0.3335094023657797,2.9984162152743155,0.3441672240044436,1.0,1.0,0.6558327759955564,0.0,0.3441672240044436
2020-10-30,3,0.3337334936376737,2.9964028755401926,0.34965358712375977,1.0,1.0000000000000002,0.6503464128762404,0.0,0.34965358712375977
2020-11-02,3,0.33378965123584614,2.9958987532942682,0.3505667715644347,1.0,1.0,0.6494332284355654,0.0,0.3505667715644347
2020-11-03,3,0.3333333333333333,3.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333
2020-11-04,3,0.33338019597487517,2.999578295512682,0.3367630313333073,1.0,1.0,0.6645593174126825,0.0,0.33544068258731746
2020-11-05,3,0.3334014561875161,2.999387019586281,0.34006554447970755,1.0,1.0,0.6697692823883026,0.0,0.3302307176116974
2020-11-06,3,0.3334123233220503,2.9992892585259305,0.3384960935671289,1.0,0.9999999999999999,0.6648316654102275,0.0,0.33516833458977235
2020-11-09,3,0.3333882467294939,2.9995058608391334,0.33851200630061185,1.0,1.0,0.6665462600252523,0.0,0.3334537399747477
2020-11-10,3,0.3334109075632591,2.9993019943724155,0.33981131906178247,0.9999999999999999,1.0,0.6672012389571997,0.0,0.33279876104280026
2020-11-11,3,0.33348959509630627,2.9985943031032694,0.3420270291324875,1.0,1.0,0.6756444563171518,0.0,0.32435554368284825
2020-11-12,3,0.33364572632845374,2.997191095490195,0.34642227029781725,1.0,1.0,0.6784748120401132,0.0,0.3215251879598869
2020-11-13,3,0.3334642283416025,2.998822407348577,0.3415285720097126,1.0,1.0,0.6746470751328452,0.0,0.3253529248671549
2020-11-16,3,0.33362586713144815,2.9973695043436224,0.3472315392858272,1.0,1.0,0.672433905634664,0.0,0.32756609436533596
2020-11-17,3,0.3336610744661713,2.9970532271404835,0.3471254152242999,1.0,1.0,0.6689578814206791,0.0,0.3310421185793208
