정책,CAGR,연변동성,MDD,연율화회전율,정기,재가중,캡,캡 발동,재가중 발동,회전율 증가율,최종레벨 차이
현행 (반기 재선정·반기 재가중),0.6453557238013656,0.4178983990449184,-0.4518149080409437,1.3720091283361404,3.3039047828462134,0.0,5.0690133473694114,68,0,0.0,0.0
분기 재가중 추가,0.6385766126291432,0.416501070201927,-0.44587907960722006,2.378567072130738,3.2869407419723604,3.2328766044783848,7.995791151234171,73,12,0.7336379350589803,-0.024881083611676402
