date,기준선,band_3,band_5,band_10
2020-06-15,0.0,0.0,0.0,0.0
2020-06-16,0.0025788902988155282,0.0025788902988155282,0.0025788902988155282,0.0025788902988155282
2020-06-17,-0.18333333333333346,-0.18333333333333346,-0.18333333333333346,-0.18333333333333346
2020-06-18,-0.1861685915993272,-0.1861685915993272,-0.1861685915993272,-0.1861685915993272
2020-06-19,-0.19209969980127695,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
2020-06-22,-0.1927486951643249,-0.0003678575183871935,-0.0003678575183871935,-0.0003678575183871935
2020-06-23,-0.19115398610452483,-0.18333333333333346,-0.18333333333333346,-0.18333333333333346
2020-06-24,-0.18684032263767936,-0.17907489507733643,-0.17907489507733643,-0.17907489507733643
2020-06-25,-0.18548867401379632,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
2020-06-26,-0.1812262716478762,0.002417391634193411,0.002417391634193411,0.002417391634193411
2020-06-29,-0.1765415600343967,-0.18333333333333346,-0.18333333333333346,-0.18333333333333346
2020-06-30,-0.1752485340726101,-0.1820033171902511,-0.1820033171902511,-0.1820033171902511
2020-07-01,-0.1742393596669437,0.0,0.0,0.0
2020-07-02,-0.18333333333333346,0.0008868527439472862,0.0008868527439472862,0.0008868527439472862
2020-07-03,-0.19584770836883014,-0.18333333333333346,-0.18333333333333346,-0.18333333333333346
2020-07-06,-0.19808125081953976,-0.18552894108564089,-0.18552894108564089,-0.18552894108564089
2020-07-07,-0.1982168677318472,0.0,0.0,0.0
2020-07-08,-0.2132359970150337,-0.008549665999747935,-0.008549665999747935,-0.008549665999747935
2020-07-09,-0.2187672867079331,-0.18333333333333346,-0.18333333333333346,-0.18333333333333346
2020-07-10,-0.22361217099649822,-0.18796235970040964,-0.18796235970040964,-0.18796235970040964
2020-07-13,-0.22843024061512485,0.0,0.0,0.0
2020-07-14,-0.23573270402705337,-0.003990714405382123,-0.003990714405382123,-0.003990714405382123
2020-07-15,-0.23101829430558474,-0.18333333333333346,-0.18333333333333346,-0.18333333333333346
2020-07-16,-0.22743088770068054,-0.17991959806640923,-0.17991959806640923,-0.17991959806640923
2020-07-17,-0.2486526278345993,0.0,0.0,0.0
2020-07-20,-0.24516392997436642,0.0018411844787212805,0.0018411844787212805,0.0018411844787212805
2020-07-21,-0.2759342070328211,-0.18333333333333346,-0.18333333333333346,-0.18333333333333346
2020-07-22,-0.285099987448177,-0.19169209408402055,-0.19169209408402055,-0.19169209408402055
2020-07-23,-0.2950722571880243,0.0,0.0,0.0
2020-07-24,-0.29502905869673357,4.3386838029624286e-05,4.3386838029624286e-05,4.3386838029624286e-05
2020-07-27,-0.2992540633990721,-0.18333333333333346,-0.18333333333333346,-0.18333333333333346
2020-07-28,-0.2930431253707134,-0.1779568376731624,-0.1779568376731624,-0.1779568376731624
2020-07-29,-0.2940201808261409,0.0,0.0,0.0
2020-07-30,-0.2901159763428789,0.0020611484926935653,0.0020611484926935653,0.0020611484926935653
2020-07-31,-0.2868482234806249,-0.18333333333333346,-0.18333333333333346,-0.18333333333333346
2020-08-03,-0.2979385472611764,-0.1933548431068649,-0.1933548431068649,-0.1933548431068649
2020-08-04,-0.18333333333333346,0.0,0.0,0.0
2020-08-05,-0.18072849079041364,0.001491863684515482,0.001491863684515482,0.001491863684515482
2020-08-06,-0.17433348756609424,-0.18333333333333346,-0.18333333333333346,-0.18333333333333346
2020-08-07,-0.17690184039059265,-0.18593499729083462,-0.18593499729083462,-0.18593499729083462
2020-08-10,-0.17618092705967303,0.0,0.0,0.0
2020-08-11,-0.18291338421378778,-0.003931577511773643,-0.003931577511773643,-0.003931577511773643
2020-08-12,-0.17257056899859624,-0.18333333333333346,-0.18333333333333346,-0.18333333333333346
2020-08-13,-0.16787768097828681,-0.1785570065457387,-0.1785570065457387,-0.1785570065457387
2020-08-14,-0.16214552473086574,0.0,0.0,0.0
2020-08-18,-0.1532316100643365,0.005220035681418267,0.005220035681418267,0.005220035681418267
2020-08-19,-0.16557447377172907,-0.18333333333333346,-0.18333333333333346,-0.18333333333333346
2020-08-20,-0.15635654992769532,-0.17384819662285766,-0.17384819662285766,-0.17384819662285766
2020-08-21,-0.15310418553963867,0.0,0.0,0.0
2020-08-24,-0.15177494049903995,0.000830373142932106,0.000830373142932106,0.000830373142932106
2020-08-25,-0.1554183362665783,-0.18333333333333346,-0.18333333333333346,-0.18333333333333346
2020-08-26,-0.14888509462711674,-0.1764300465069426,-0.1764300465069426,-0.1764300465069426
2020-08-27,-0.1437008408868259,0.0,0.0,0.0
2020-08-28,-0.14938760734581735,-0.0035268753995674196,-0.0035268753995674196,-0.0035268753995674196
2020-08-31,-0.15856247834296133,-0.18333333333333346,-0.18333333333333346,-0.18333333333333346
2020-09-01,-0.16117438780499915,-0.18605614059278885,-0.18605614059278885,-0.18605614059278885
2020-09-02,-0.18333333333333346,0.0,0.0,0.0
2020-09-03,-0.18317522807020326,9.034492319004439e-05,9.034492319004439e-05,9.034492319004439e-05
