구분,일수,지수 평균수익률,대용 평균수익률,포착률
앵커 대용 상승일,780,0.017384536208980665,0.018158198084929696,0.9573932461618465
앵커 대용 하락일,714,-0.014090194946939872,-0.015740785316990094,0.8951392616816501
