구간,거래일,기간수익률,연율화,연변동성,MDD,Sharpe(rf=0),비고
상승 (앵커 대용 낙폭 < 10%),595,24.920057002770243,2.9693226587639954,0.541426190358057,,,불연속 구간 - MDD 는 산출하지 않는다
조정 (앵커 대용 낙폭 >= 10%),903,17.66882721925691,1.2632385698815543,0.9656999583527633,,,불연속 구간 - MDD 는 산출하지 않는다
