시나리오,CAGR,연변동성,MDD,연율화회전율,정기변경 평균 종목수,최종레벨,CAGR 차이,최종레벨 차이
현행 (규칙 C 3요건 전부),0.6453557238013659,0.41789839904491827,-0.4518149080409437,1.3720091283361402,3.9375,20881.519766449783,0.0,0.0
대안 (요건 1만 - 공정·위원회 해제),0.5103368242852304,0.4004890082945529,-0.4448678493892062,1.2743050946177321,11.0,12383.068325908802,-0.13501889951613544,-0.4069843352204371
