,유지선(핵심/위성),연율화회전율(편도),편입 건수,편출 건수,평균 종목수,최저 테마적합도,CAGR(0bp),CAGR(30bp),연변동성,MDD
none,0.30/0.70,1.3720091283361402,4,0,3.7216288384512684,0.4459518680928114,0.6453557238013659,0.6385949558911108,0.41789839904491843,-0.4518149080409437
narrow,0.29/0.69,1.3720091283361402,4,0,3.7216288384512684,0.4459518680928114,0.6453557238013659,0.6385949558911108,0.41789839904491843,-0.4518149080409437
mid,0.27/0.67,1.3720091283361402,4,0,3.7216288384512684,0.4459518680928114,0.6453557238013659,0.6385949558911108,0.41789839904491843,-0.4518149080409437
wide,0.25/0.65,1.3720091283361402,4,0,3.7216288384512684,0.4459518680928114,0.6453557238013659,0.6385949558911108,0.41789839904491843,-0.4518149080409437
