ticker,listed,close,market_cap,mcap_rank,adv60,listed_days,asof,market_cap_source,source_file,source_sha256
000660,True,530000.0,385841253450000.0,2.0,1976627410247.7,10564.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
003160,True,21400.0,605620000000.0,445.0,39380796510.416664,10712.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
005290,True,36150.0,1858633958100.0,205.0,22074110811.25,9474.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
005930,True,100500.0,594923611161000.0,1.0,2111795114415.8167,18433.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
007660,True,144000.0,10570927536000.0,61.0,190750278482.78333,8088.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
014680,True,238000.0,2697776410000.0,154.0,14599194396.433332,13341.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
033160,True,8480.0,191618150400.0,991.0,1784719767.5833333,10245.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
036540,True,4175.0,686621765025.0,411.0,5386901596.033334,8976.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
036930,True,27350.0,1292788579350.0,262.0,12424949354.583334,9471.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
039030,True,257000.0,3166124350000.0,135.0,32881521215.0,9227.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
042700,True,123600.0,11780587920000.0,55.0,177901010138.33334,7434.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
061970,True,4485.0,260502281910.0,786.0,3009389593.75,5415.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
064290,True,13520.0,173920766240.0,1043.0,5802338582.333333,5441.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
067310,True,25700.0,1705918480700.0,214.0,51763497945.333336,7353.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
086390,True,14890.0,314687136140.0,689.0,11749756573.333334,6933.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
089030,True,47100.0,1745226679500.0,212.0,48659742871.25,5132.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
095340,True,111900.0,2371950790200.0,173.0,21646713761.666668,6633.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
102710,True,44700.0,638666269200.0,428.0,9740902988.333334,6028.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
104830,True,30650.0,386435200000.0,595.0,4673917426.25,5084.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
112290,True,20450.0,206760645250.0,941.0,2829277266.9166665,1233.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
131290,True,56000.0,619440024000.0,438.0,4941853823.5,5441.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
166090,True,45250.0,894939748500.0,338.0,12263893262.916666,3136.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
195870,True,48850.0,830450000000.0,352.0,12261253085.0,3444.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
222800,True,54200.0,2000753379800.0,199.0,56575438472.083336,3766.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
253590,True,10260.0,450097622640.0,546.0,9196151769.666666,2795.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
281820,True,39850.0,824509371550.0,354.0,5688376333.333333,2915.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
322310,True,23000.0,215430466000.0,909.0,3964629682.0833335,1738.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
348210,True,65600.0,687291528000.0,410.0,5765404998.75,1877.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
353200,True,49200.0,2431312710000.0,168.0,70250205220.41667,2017.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
357780,True,262000.0,2037984292000.0,195.0,11918611475.0,1940.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
394280,True,11420.0,251834742180.0,806.0,1624570118.4166667,1159.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
403870,True,30250.0,2525831682000.0,165.0,28567068091.25,1232.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
425040,True,8110.0,172978855020.0,1048.0,2071530664.8333333,1044.0,2025-11-28,KRX all-stock screen download,krx_all_20251128.csv,500e721c1567726b85d2913e2d86448a8da5646482073f7b080b39e38ede255d
