ticker,listed,close,market_cap,mcap_rank,adv60,listed_days,asof,market_cap_source,source_file,source_sha256
000660,True,189200.0,137738047458000.0,2.0,719010338677.5333,10018.0,2024-05-31,KRX all-stock screen download,krx_all_20240531.csv,d344bec62b71bb28eacdf9b5f49180f5f48b1bb28689f83512f51471e0080e94
003160,True,21000.0,594300000000.0,410.0,67658200648.666664,10166.0,2024-05-31,KRX all-stock screen download,krx_all_20240531.csv,d344bec62b71bb28eacdf9b5f49180f5f48b1bb28689f83512f51471e0080e94
005290,True,41950.0,2156838023300.0,152.0,65103021599.166664,8928.0,2024-05-31,KRX all-stock screen download,krx_all_20240531.csv,d344bec62b71bb28eacdf9b5f49180f5f48b1bb28689f83512f51471e0080e94
005930,True,73500.0,438779017425000.0,1.0,1738655853695.5667,17887.0,2024-05-31,KRX all-stock screen download,krx_all_20240531.csv,d344bec62b71bb28eacdf9b5f49180f5f48b1bb28689f83512f51471e0080e94
007660,True,48000.0,3035828112000.0,123.0,192256068155.83334,7542.0,2024-05-31,KRX all-stock screen download,krx_all_20240531.csv,d344bec62b71bb28eacdf9b5f49180f5f48b1bb28689f83512f51471e0080e94
014680,True,189500.0,2148019452500.0,155.0,13785832269.2,12795.0,2024-05-31,KRX all-stock screen download,krx_all_20240531.csv,d344bec62b71bb28eacdf9b5f49180f5f48b1bb28689f83512f51471e0080e94
033160,True,11970.0,264133982070.0,747.0,3760127367.3333335,9699.0,2024-05-31,KRX all-stock screen download,krx_all_20240531.csv,d344bec62b71bb28eacdf9b5f49180f5f48b1bb28689f83512f51471e0080e94
036540,True,5400.0,888085636200.0,298.0,7996088879.666667,8430.0,2024-05-31,KRX all-stock screen download,krx_all_20240531.csv,d344bec62b71bb28eacdf9b5f49180f5f48b1bb28689f83512f51471e0080e94
036930,True,32750.0,1580161693000.0,192.0,32730944255.0,8925.0,2024-05-31,KRX all-stock screen download,krx_all_20240531.csv,d344bec62b71bb28eacdf9b5f49180f5f48b1bb28689f83512f51471e0080e94
039030,True,197200.0,2429415260000.0,140.0,54046158626.666664,8681.0,2024-05-31,KRX all-stock screen download,krx_all_20240531.csv,d344bec62b71bb28eacdf9b5f49180f5f48b1bb28689f83512f51471e0080e94
042700,True,161700.0,15683870617800.0,24.0,335483623635.0,6888.0,2024-05-31,KRX all-stock screen download,krx_all_20240531.csv,d344bec62b71bb28eacdf9b5f49180f5f48b1bb28689f83512f51471e0080e94
061970,True,6760.0,295983841920.0,684.0,6344360266.666667,4869.0,2024-05-31,KRX all-stock screen download,krx_all_20240531.csv,d344bec62b71bb28eacdf9b5f49180f5f48b1bb28689f83512f51471e0080e94
064290,True,24350.0,313237474700.0,656.0,9578550660.0,4895.0,2024-05-31,KRX all-stock screen download,krx_all_20240531.csv,d344bec62b71bb28eacdf9b5f49180f5f48b1bb28689f83512f51471e0080e94
067310,True,21150.0,1103384396250.0,258.0,84459875297.78334,6807.0,2024-05-31,KRX all-stock screen download,krx_all_20240531.csv,d344bec62b71bb28eacdf9b5f49180f5f48b1bb28689f83512f51471e0080e94
086390,True,15910.0,336243944660.0,628.0,18296084418.666668,6387.0,2024-05-31,KRX all-stock screen download,krx_all_20240531.csv,d344bec62b71bb28eacdf9b5f49180f5f48b1bb28689f83512f51471e0080e94
089030,True,43300.0,1617412828500.0,187.0,45321526021.666664,4586.0,2024-05-31,KRX all-stock screen download,krx_all_20240531.csv,d344bec62b71bb28eacdf9b5f49180f5f48b1bb28689f83512f51471e0080e94
095340,True,76000.0,1610976408000.0,188.0,35960414366.666664,6087.0,2024-05-31,KRX all-stock screen download,krx_all_20240531.csv,d344bec62b71bb28eacdf9b5f49180f5f48b1bb28689f83512f51471e0080e94
102710,True,30150.0,430778255400.0,500.0,3986869868.3333335,5482.0,2024-05-31,KRX all-stock screen download,krx_all_20240531.csv,d344bec62b71bb28eacdf9b5f49180f5f48b1bb28689f83512f51471e0080e94
104830,True,35600.0,448844800000.0,479.0,2224360145.0,4538.0,2024-05-31,KRX all-stock screen download,krx_all_20240531.csv,d344bec62b71bb28eacdf9b5f49180f5f48b1bb28689f83512f51471e0080e94
112290,True,25250.0,255291261250.0,760.0,66564457070.833336,687.0,2024-05-31,KRX all-stock screen download,krx_all_20240531.csv,d344bec62b71bb28eacdf9b5f49180f5f48b1bb28689f83512f51471e0080e94
131290,True,57400.0,634926024600.0,392.0,16795931095.0,4895.0,2024-05-31,KRX all-stock screen download,krx_all_20240531.csv,d344bec62b71bb28eacdf9b5f49180f5f48b1bb28689f83512f51471e0080e94
166090,True,50300.0,994817002200.0,271.0,8479742409.166667,2590.0,2024-05-31,KRX all-stock screen download,krx_all_20240531.csv,d344bec62b71bb28eacdf9b5f49180f5f48b1bb28689f83512f51471e0080e94
