ticker,listed,close,market_cap,mcap_rank,adv60,listed_days,asof,market_cap_source,source_file,source_sha256
000660,True,97500.0,70980230587500.0,2.0,314924558136.0333,8740.0,2020-11-30,KRX all-stock screen download,krx_all_20201130.csv,8130d5629fba71c5e848cdc7ca0cbc1380b6ef5613d2b864607b5d12a4ebb1e2
003160,True,4120.0,129766754200.0,1209.0,576115930.25,8888.0,2020-11-30,KRX all-stock screen download,krx_all_20201130.csv,8130d5629fba71c5e848cdc7ca0cbc1380b6ef5613d2b864607b5d12a4ebb1e2
005290,True,30850.0,1586137139900.0,158.0,31734791330.833332,7650.0,2020-11-30,KRX all-stock screen download,krx_all_20201130.csv,8130d5629fba71c5e848cdc7ca0cbc1380b6ef5613d2b864607b5d12a4ebb1e2
005930,True,66700.0,398184496085000.0,1.0,1249692431240.5166,16609.0,2020-11-30,KRX all-stock screen download,krx_all_20201130.csv,8130d5629fba71c5e848cdc7ca0cbc1380b6ef5613d2b864607b5d12a4ebb1e2
007660,True,4215.0,173946297570.0,984.0,4423746108.466666,6264.0,2020-11-30,KRX all-stock screen download,krx_all_20201130.csv,8130d5629fba71c5e848cdc7ca0cbc1380b6ef5613d2b864607b5d12a4ebb1e2
014680,True,156000.0,1762050420000.0,143.0,11347352901.533333,11517.0,2020-11-30,KRX all-stock screen download,krx_all_20201130.csv,8130d5629fba71c5e848cdc7ca0cbc1380b6ef5613d2b864607b5d12a4ebb1e2
033160,True,9720.0,211970737080.0,834.0,5144639440.0,8421.0,2020-11-30,KRX all-stock screen download,krx_all_20201130.csv,8130d5629fba71c5e848cdc7ca0cbc1380b6ef5613d2b864607b5d12a4ebb1e2
036540,True,5330.0,876573414990.0,245.0,9234382939.666666,7152.0,2020-11-30,KRX all-stock screen download,krx_all_20201130.csv,8130d5629fba71c5e848cdc7ca0cbc1380b6ef5613d2b864607b5d12a4ebb1e2
036930,True,7790.0,375861361480.0,533.0,11996300099.833334,7647.0,2020-11-30,KRX all-stock screen download,krx_all_20201130.csv,8130d5629fba71c5e848cdc7ca0cbc1380b6ef5613d2b864607b5d12a4ebb1e2
039030,True,102900.0,1267681695000.0,196.0,11054688348.333334,7403.0,2020-11-30,KRX all-stock screen download,krx_all_20201130.csv,8130d5629fba71c5e848cdc7ca0cbc1380b6ef5613d2b864607b5d12a4ebb1e2
042700,True,12200.0,628318312200.0,340.0,7408871496.0,5610.0,2020-11-30,KRX all-stock screen download,krx_all_20201130.csv,8130d5629fba71c5e848cdc7ca0cbc1380b6ef5613d2b864607b5d12a4ebb1e2
061970,True,11600.0,507901267200.0,405.0,34977497041.833336,3591.0,2020-11-30,KRX all-stock screen download,krx_all_20201130.csv,8130d5629fba71c5e848cdc7ca0cbc1380b6ef5613d2b864607b5d12a4ebb1e2
064290,True,14550.0,183511322100.0,945.0,2781138553.3333335,3617.0,2020-11-30,KRX all-stock screen download,krx_all_20201130.csv,8130d5629fba71c5e848cdc7ca0cbc1380b6ef5613d2b864607b5d12a4ebb1e2
067310,True,8350.0,255891954050.0,723.0,15011906902.833334,5529.0,2020-11-30,KRX all-stock screen download,krx_all_20201130.csv,8130d5629fba71c5e848cdc7ca0cbc1380b6ef5613d2b864607b5d12a4ebb1e2
086390,True,24800.0,524126324800.0,393.0,37388424385.0,5109.0,2020-11-30,KRX all-stock screen download,krx_all_20201130.csv,8130d5629fba71c5e848cdc7ca0cbc1380b6ef5613d2b864607b5d12a4ebb1e2
089030,True,20450.0,395069173700.0,512.0,7718411826.666667,3308.0,2020-11-30,KRX all-stock screen download,krx_all_20201130.csv,8130d5629fba71c5e848cdc7ca0cbc1380b6ef5613d2b864607b5d12a4ebb1e2
095340,True,19750.0,279314533000.0,679.0,6190977035.0,4809.0,2020-11-30,KRX all-stock screen download,krx_all_20201130.csv,8130d5629fba71c5e848cdc7ca0cbc1380b6ef5613d2b864607b5d12a4ebb1e2
102710,True,40400.0,576016574400.0,361.0,12368755430.833334,4204.0,2020-11-30,KRX all-stock screen download,krx_all_20201130.csv,8130d5629fba71c5e848cdc7ca0cbc1380b6ef5613d2b864607b5d12a4ebb1e2
104830,True,32100.0,404716800000.0,500.0,3255064867.5,3260.0,2020-11-30,KRX all-stock screen download,krx_all_20201130.csv,8130d5629fba71c5e848cdc7ca0cbc1380b6ef5613d2b864607b5d12a4ebb1e2
112290,False,,,,,,2020-11-30,KRX all-stock screen download,krx_all_20201130.csv,8130d5629fba71c5e848cdc7ca0cbc1380b6ef5613d2b864607b5d12a4ebb1e2
