ticker,name,fiscal_year,hbm_massproduction,hbm_exposure,mem_ratio,process_confirmed,committee_ok,audit_opinion,admin_issue,disclosed_at,source,reviewer,judgment_status
014680,한솔케미칼,2021,False,0.0,0.5,False,False,적정,False,2022-03-15,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220315000012,노민수,FINAL
014680,한솔케미칼,2022,False,0.0,0.5,False,False,적정,False,2023-03-13,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230313000732,노민수,FINAL
014680,한솔케미칼,2023,False,0.0,0.5,False,False,적정,False,2024-03-12,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240312000921,노민수,FINAL
014680,한솔케미칼,2024,False,0.0,0.5,False,False,적정,False,2025-03-10,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250310000865,노민수,FINAL
014680,한솔케미칼,2025,False,0.0,0.5,False,False,적정,False,2026-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001424,노민수,FINAL
033160,엠케이전자,2019,False,0.0,0.5,False,False,적정,False,2020-03-30,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330003137,노민수,FINAL
033160,엠케이전자,2020,False,0.0,0.5,False,False,적정,False,2021-03-23,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210323000531,노민수,FINAL
033160,엠케이전자,2021,False,0.0,0.5,False,False,적정,False,2022-03-23,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220323001073,노민수,FINAL
033160,엠케이전자,2022,False,0.0,0.5,False,False,적정,False,2023-03-23,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230323001008,노민수,FINAL
033160,엠케이전자,2023,False,0.0,0.5,False,False,적정,False,2024-03-21,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240321001765,노민수,FINAL
033160,엠케이전자,2024,False,0.0,0.5,False,False,적정,False,2025-03-21,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001427,노민수,FINAL
033160,엠케이전자,2025,False,0.0,0.5,False,False,적정,False,2026-03-23,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323001379,노민수,FINAL
036540,SFA반도체,2019,False,0.0,0.75,False,False,적정,False,2020-03-30,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330002872,노민수,FINAL
036540,SFA반도체,2020,False,0.0,0.75,False,False,적정,False,2021-03-19,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210319000787,노민수,FINAL
036540,SFA반도체,2021,False,0.0,0.75,False,False,적정,False,2022-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220318000698,노민수,FINAL
036540,SFA반도체,2022,False,0.0,0.75,False,False,적정,False,2023-03-20,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230320000643,노민수,FINAL
036540,SFA반도체,2023,False,0.0,0.75,False,False,적정,False,2024-03-20,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320000826,노민수,FINAL
036540,SFA반도체,2024,False,0.0,0.75,False,False,적정,False,2025-03-21,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321000463,노민수,FINAL
036540,SFA반도체,2025,False,0.0,0.75,False,False,적정,False,2026-03-23,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323000826,노민수,FINAL
036930,주성엔지니어링,2019,False,0.0,0.7,False,False,적정,False,2020-03-30,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330003817,노민수,FINAL
036930,주성엔지니어링,2020,False,0.0,0.7,False,False,적정,False,2021-03-17,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210317001221,노민수,FINAL
036930,주성엔지니어링,2021,False,0.0,0.7,False,False,적정,False,2022-03-21,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220321001122,노민수,FINAL
036930,주성엔지니어링,2022,False,0.0,0.7,False,False,적정,False,2023-03-21,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230321001180,노민수,FINAL
036930,주성엔지니어링,2023,False,0.0,0.7,False,False,적정,False,2024-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240318000865,노민수,FINAL
036930,주성엔지니어링,2024,False,0.03,0.7,False,False,적정,False,2025-03-17,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000470,노민수,FINAL
036930,주성엔지니어링,2025,False,0.03,0.7,False,False,적정,False,2026-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318000323,노민수,FINAL
039030,이오테크닉스,2019,False,0.0,0.5,False,False,적정,False,2020-03-30,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330003030,노민수,FINAL
039030,이오테크닉스,2020,False,0.0,0.5,False,False,적정,False,2021-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210318001314,노민수,FINAL
039030,이오테크닉스,2021,False,0.0,0.5,False,False,적정,False,2022-03-21,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220321001425,노민수,FINAL
039030,이오테크닉스,2022,False,0.0,0.5,False,False,적정,False,2023-03-21,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230321001354,노민수,FINAL
039030,이오테크닉스,2023,False,0.0,0.5,False,False,적정,False,2024-03-20,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320001082,노민수,FINAL
039030,이오테크닉스,2024,False,0.0,0.5,False,False,적정,False,2025-03-20,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320001508,노민수,FINAL
039030,이오테크닉스,2025,False,0.0,0.5,False,False,적정,False,2026-03-23,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323001573,노민수,FINAL
042700,한미반도체,2019,False,0.1,0.8,True,True,적정,False,2020-03-27,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200327001498,노민수,FINAL
042700,한미반도체,2020,False,0.1,0.8,True,True,적정,False,2021-03-11,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210311000922,노민수,FINAL
042700,한미반도체,2021,False,0.15,0.8,True,True,적정,False,2022-03-10,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220310001098,노민수,FINAL
042700,한미반도체,2022,False,0.25,0.8,True,True,적정,False,2023-03-16,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230316001554,노민수,FINAL
042700,한미반도체,2023,False,0.35,0.8,True,True,적정,False,2024-03-14,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240314001257,노민수,FINAL
042700,한미반도체,2024,False,0.55,0.8,True,True,적정,False,2025-03-13,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250313001171,노민수,FINAL
042700,한미반도체,2025,False,0.6,0.8,True,True,적정,False,2026-03-12,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260312001230,노민수,FINAL
061970,LB세미콘,2019,False,0.0,0.3,False,False,적정,False,2020-03-30,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330000279,노민수,FINAL
061970,LB세미콘,2020,False,0.0,0.3,False,False,적정,False,2021-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210318000300,노민수,FINAL
061970,LB세미콘,2021,False,0.0,0.25,False,False,적정,False,2022-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220318000595,노민수,FINAL
061970,LB세미콘,2022,False,0.0,0.25,False,False,적정,False,2023-03-17,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230317000109,노민수,FINAL
061970,LB세미콘,2023,False,0.0,0.2,False,False,적정,False,2024-03-19,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240319000011,노민수,FINAL
061970,LB세미콘,2024,False,0.01,0.2,False,False,적정,False,2025-03-20,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320000568,노민수,FINAL
061970,LB세미콘,2025,False,0.02,0.2,False,False,적정,False,2026-03-20,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260320000806,노민수,FINAL
064290,인텍플러스,2019,False,0.0,0.4,False,False,적정,False,2020-03-30,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330001988,노민수,FINAL
064290,인텍플러스,2020,False,0.0,0.4,False,False,적정,False,2021-03-17,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210317000288,노민수,FINAL
064290,인텍플러스,2021,False,0.0,0.4,False,False,적정,False,2022-03-21,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220321001214,노민수,FINAL
064290,인텍플러스,2022,False,0.0,0.4,False,False,적정,False,2023-03-20,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230320000930,노민수,FINAL
064290,인텍플러스,2023,False,0.0,0.4,False,False,적정,False,2024-03-20,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320001790,노민수,FINAL
064290,인텍플러스,2024,False,0.0,0.4,False,False,적정,False,2025-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000533,노민수,FINAL
064290,인텍플러스,2025,False,0.0,0.4,False,False,적정,False,2026-03-18,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001550,노민수,FINAL
067310,하나마이크론,2019,False,0.0,0.6,False,False,적정,False,2020-03-30,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330003994,노민수,FINAL
067310,하나마이크론,2020,False,0.0,0.6,False,False,적정,False,2021-03-22,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210322001096,노민수,FINAL
067310,하나마이크론,2021,False,0.0,0.6,False,False,적정,False,2022-03-22,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220322001105,노민수,FINAL
067310,하나마이크론,2022,False,0.0,0.6,False,False,적정,False,2023-03-27,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230327000992,노민수,FINAL
067310,하나마이크론,2023,False,0.0,0.6,False,False,적정,False,2024-03-20,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320001644,노민수,FINAL
