ticker,name,fiscal_year,report_nm,rcept_no,rcept_dt,source_url,raw_sha256,raw_bytes,hbm_hits,status,disclosed_at,led_rcept_no,hbm_exposure,judgment_status,verdict,flag_zero_hbm
005290,동진쎄미켐,2025,사업보고서 (2025.12),20260319000264,20260319,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260319000264,D67026CC3115AF7AAE918B673BC22066B6E5FD7371E4D1458A9582EAA6B789FC,780128,0,OK,2026-03-19,20260319000264,0.0,FINAL,MATCH,False
005930,삼성전자,2019,사업보고서 (2019.12),20200330003851,20200330,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330003851,6DBCF2515489E2B1B5F07ED51957B4CCF1E646436C2F49874279C7FF6228C527,1200430,8,OK,2020-03-30,20200330003851,0.01,FINAL,MATCH,False
005930,삼성전자,2020,사업보고서 (2020.12),20210309000744,20210309,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210309000744,A8727FAC69E8F1DCACBFB7B8557153223284CD2595C6418FF352766245430ECF,1203969,8,OK,2021-03-09,20210309000744,0.01,FINAL,MATCH,False
005930,삼성전자,2021,사업보고서 (2021.12),20220308000798,20220308,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220308000798,8007E356088406B1872731D7B28BC1E491085CF1F5A7397CA2A57D04A75074B0,1261358,18,OK,2022-03-08,20220308000798,0.02,FINAL,MATCH,False
005930,삼성전자,2022,사업보고서 (2022.12),20230307000542,20230307,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230307000542,7C84872E697C5F11EC5B5C478C15FFD71AC10C36893BE73E3FB87AA267EB85B0,1251833,21,OK,2023-03-07,20230307000542,0.03,FINAL,MATCH,False
005930,삼성전자,2023,사업보고서 (2023.12),20240312000736,20240312,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240312000736,E713662DAA5335E54F8B9E617C94906F3DEB6819F5603A8681A9236363AAA665,1239941,35,OK,2024-03-12,20240312000736,0.05,FINAL,MATCH,False
005930,삼성전자,2024,사업보고서 (2024.12),20250311001085,20250311,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250311001085,928D7DFC5CCDD232E5DAFADCD3B0FA19C5B0A94923DDF5C8365D774993E93AFC,1315999,22,OK,2025-03-11,20250311001085,0.08,FINAL,MATCH,False
005930,삼성전자,2025,사업보고서 (2025.12),20260310002820,20260310,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260310002820,34FB77F7949CA3A654CA531ECD6825294A3832CC5F0E7B4459CF8461F65CC07A,1411509,18,OK,2026-03-10,20260310002820,0.1,FINAL,MATCH,False
007660,이수페타시스,2019,사업보고서 (2019.12),20200515001654,20200515,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200515001654,0ACEE7DB97D544E63D0DD139ECC9F59332E1A67D0EDD01D761AAE4D729E56EB8,526544,0,OK,2020-05-15,20200515001654,0.0,FINAL,MATCH,False
007660,이수페타시스,2020,사업보고서 (2020.12),20210323001115,20210323,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210323001115,F9B431587A94E01A4AE49CADD1D760B12564E49322477A1FB6FC79BFFD6C077F,531178,0,OK,2021-03-23,20210323001115,0.0,FINAL,MATCH,False
