seed,정책,유지임계(핵심/위성),연율화 회전율,편입 횟수,편출 횟수,편입+편출 횟수,평균 종목 수,평균 노출도(비중가중),평균 HHI,평균 최대비중,총수익률(무비용),총수익률(30bp차감),CAGR(30bp),"비용 드래그(연, bp)"
20260722,none,30%/70%,0.36162467032095985,43,45,88,13.0,0.5267970736741024,0.12862732078890568,0.22359371092458802,0.8947936492134183,0.8829244006933805,0.11548124969875606,12.111638535705627
20260722,narrow,29%/69%,0.33002010306866986,40,42,82,13.25,0.5220541219375366,0.1272914375137662,0.22359371092458802,0.9175340242232193,0.9065693786944986,0.11788784763198734,11.076162177883209
20260722,mid,27%/67%,0.24436089944826322,22,21,43,15.0,0.500005598300098,0.12188190176138469,0.22359371092458802,0.8853484775551219,0.8773606422194988,0.11491133615930393,8.177838279768146
20260722,wide,25%/65%,0.20080759400427234,10,7,17,16.166666666666668,0.48844011193233516,0.11899914176500868,0.22359371092458802,0.9084192914531983,0.901772551062739,0.11740162851787073,6.734607736105236
20260723,none,30%/70%,0.36923887753173135,43,45,88,13.0,0.5251129363366532,0.12833332074920828,0.22203101965933358,0.9247505535003446,0.9124405281946524,0.11848158732973801,12.400132552514709
20260723,narrow,29%/69%,0.3382498795318853,40,41,81,13.333333333333334,0.5190648033210365,0.12661738948821266,0.22203101965933358,0.9459431682055086,0.9345392950555786,0.12070296554593751,11.381216942640826
20260723,mid,27%/67%,0.23616779917609326,20,20,40,15.083333333333334,0.49742197223686535,0.12133108868147509,0.22203101965933358,0.9686089332873737,0.9605474750817169,0.12329058581998464,7.962890701129766
20260723,wide,25%/65%,0.1980087895229965,8,7,15,16.166666666666668,0.4874247103911877,0.11893305389354837,0.22203101965933358,0.9791108844090639,0.9723138456813198,0.12445193163947565,6.6826116140328296
20260724,none,30%/70%,0.40109526848335064,43,45,88,13.0,0.5237054130282188,0.12761554776615555,0.22062979945775688,0.7990339240871769,0.7865384110588736,0.10540463972186731,13.313427966272773
20260724,narrow,29%/69%,0.39109376029173054,42,43,85,13.166666666666666,0.5208556693740455,0.1268074118351635,0.22062979945775688,0.8749860015140849,0.8622866691536548,0.11336020922648538,13.07459363295127
20260724,mid,27%/67%,0.28942736346055614,24,23,47,14.833333333333334,0.4978978403707004,0.12114080141696353,0.22062979945775688,0.8462110438536541,0.8369497242622927,0.1107294512576491,9.650722979421822
20260724,wide,25%/65%,0.2454246659446059,9,8,17,16.083333333333332,0.48696200278372886,0.11857030333340024,0.22062979945775688,0.8565248812865105,0.8486249487009503,0.11194540547173015,8.191652186781972
20260725,none,30%/70%,0.372762229273252,43,45,88,13.0,0.5279220855245282,0.12800802123008645,0.214944240918127,0.9870994657536318,0.9742696827521002,0.12464441771697876,12.587617120125572
20260725,narrow,29%/69%,0.34564722017166877,40,42,82,13.25,0.5229493099906777,0.12665000474045876,0.214944240918127,1.0206565576281172,1.0085565505079552,0.1279934404361336,11.705995904036648
20260725,mid,27%/67%,0.2550940342040932,25,24,49,14.75,0.5026227043937372,0.12166463896837049,0.214944240918127,1.0699520923441277,1.0607976379599218,0.1330063542861495,8.675863526281802
20260725,wide,25%/65%,0.20331168599837954,10,9,19,16.0,0.49166626325898005,0.11901797127179914,0.214944240918127,1.0018783781164204,0.9948192627744505,0.12665735131820233,6.87517274043703
20260726,none,30%/70%,0.3407945700252586,43,45,88,13.0,0.5244816217489527,0.12794352730049413,0.2202912922798085,1.6357885903265936,1.6202261391453918,0.18098676209257292,12.08369244575458
20260726,narrow,29%/69%,0.30572901235978595,38,39,77,13.5,0.5157052038151749,0.12540664373454286,0.2202912922798085,1.5708917315854025,1.5572705296405633,0.17603705845851292,10.794058792267247
20260726,mid,27%/67%,0.22840855808533359,24,23,47,14.833333333333334,0.4992704349470376,0.12141631175729907,0.2202912922798085,1.5707765026853258,1.5605944019227094,0.17630089511567482,8.064578251083532
20260726,wide,25%/65%,0.18188346552057735,10,8,18,16.083333333333332,0.4889712922717555,0.11907158398954454,0.2202912922798085,1.6244005470843788,1.6161202969219541,0.18066696828854356,6.445032886488455
20260727,none,30%/70%,0.38003982387697255,43,45,88,13.0,0.524590529354192,0.12761478074840296,0.21820385887501204,2.147411413502108,2.126694604654657,0.2175836335845669,13.894051592622247
20260727,narrow,29%/69%,0.3675715780423229,42,44,86,13.083333333333334,0.5230244403621119,0.1271893935486061,0.21820385887501204,2.1383832531205824,2.1184015878079916,0.2170253141701075,13.431698689947424
20260727,mid,27%/67%,0.26843761943013456,23,23,46,14.833333333333334,0.5001653279916146,0.12171124877557617,0.21820385887501204,2.101563885717643,2.087131170296139,0.2149089526394654,9.789899974657068
20260727,wide,25%/65%,0.21242339295664775,8,5,13,16.333333333333332,0.4862594979704146,0.11823633038303495,0.21820385887501204,1.964381337467299,1.953460579389303,0.2056572431262227,7.68709133166956
20260728,none,30%/70%,0.39376762564319917,43,45,88,13.0,0.5264957377596646,0.1279719277241129,0.2151222066434054,2.4854990196059976,2.461730531604441,0.2391767842312884,14.651812173815948
20260728,narrow,29%/69%,0.3755645655329,41,43,84,13.166666666666666,0.5237693692092934,0.1271420346933463,0.2151222066434054,2.5082248291290394,2.485404045965722,0.24063612737817275,13.990348486270232
20260728,mid,27%/67%,0.27864015399841957,20,19,39,15.166666666666666,0.49849371626002165,0.12088972183790198,0.2151222066434054,2.905168337140632,2.8863069028423114,0.26418353403420314,10.574441016679703
20260728,wide,25%/65%,0.241067945772482,8,5,13,16.333333333333332,0.4883473237764256,0.11835969587470856,0.2151222066434054,2.8971328451743688,2.880843409613565,0.2638764367372777,9.14558745533478
20260729,none,30%/70%,0.3640340026927596,43,45,88,13.0,0.5286596829103146,0.12823621150406542,0.2153704801300277,0.9491403945820185,0.9368495743287111,0.12093398197361216,12.252021840675198
20260729,narrow,29%/69%,0.3526758544270755,42,43,85,13.166666666666666,0.5258830270292841,0.12740566968340675,0.2153704801300277,0.9823201086476447,0.970208994493259,0.12424460365653678,11.90449217468359
20260729,mid,27%/67%,0.2557292912637575,24,23,47,14.833333333333334,0.5047321326294928,0.12218621836541721,0.2153704801300277,0.9920100063733068,0.9831784181745151,0.12551919096742603,8.639949355762067
20260729,wide,25%/65%,0.19424339894980341,7,4,11,16.416666666666668,0.49057489390808096,0.11871861123151982,0.2153704801300277,1.0584297447027122,1.0514944921834948,0.13212140345513035,6.600218144485748
20260730,none,30%/70%,0.37992799613964523,43,45,88,13.0,0.5221011412492889,0.1274565411528874,0.2197096496967422,1.7941896282321919,1.7758030697300198,0.19280930659011752,13.60742246158786
20260730,narrow,29%/69%,0.3658479612143364,41,43,84,13.166666666666666,0.5193446755399397,0.12663742528609045,0.2197096496967422,1.8347072249227487,1.8167432686198195,0.19582910636678208,13.135932743078005
