ticker,name,group,exposure,mem_ratio,float_mcap,eligible,탈락사유,selection_date,ff_market_cap_asof,ff_market_cap_source,market_facts_sha256,market_facts_source_sha256,market_facts_mapping_sha256,market_facts_price_reference_sha256,free_float_asof,code_commit
000660,SK하이닉스,anchor,0.15,0.95,72515012453416.66,True,,2023-11-30,2023-11-30,KRX all-stock screen download x ledger free_float,eb76ff7f2fddd73889ec68a129f976cfdce7d62f20948bfd835c7acc8b6c2c19,46ad097752eaa41c19f0d2f99f17e0246954fe7c5dd7dd4e38da9aa7b43b8fa7,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2023-03-21,5bb9f600fce3d43dd24319364c30a6d3be9bdc63
003160,디아이,satellite,0.0,0.85,90811162500.0,False,규칙 C 요건②③ 미충족,2023-11-30,2023-11-30,KRX all-stock screen download x ledger free_float,eb76ff7f2fddd73889ec68a129f976cfdce7d62f20948bfd835c7acc8b6c2c19,46ad097752eaa41c19f0d2f99f17e0246954fe7c5dd7dd4e38da9aa7b43b8fa7,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2023-03-16,5bb9f600fce3d43dd24319364c30a6d3be9bdc63
005290,동진쎄미켐,core,0.0,0.55,1213413421241.34,True,,2023-11-30,2023-11-30,KRX all-stock screen download x ledger free_float,eb76ff7f2fddd73889ec68a129f976cfdce7d62f20948bfd835c7acc8b6c2c19,46ad097752eaa41c19f0d2f99f17e0246954fe7c5dd7dd4e38da9aa7b43b8fa7,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2023-03-16,5bb9f600fce3d43dd24319364c30a6d3be9bdc63
005930,삼성전자,anchor,0.03,0.31,344464094456664.0,True,,2023-11-30,2023-11-30,KRX all-stock screen download x ledger free_float,eb76ff7f2fddd73889ec68a129f976cfdce7d62f20948bfd835c7acc8b6c2c19,46ad097752eaa41c19f0d2f99f17e0246954fe7c5dd7dd4e38da9aa7b43b8fa7,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2023-03-07,5bb9f600fce3d43dd24319364c30a6d3be9bdc63
007660,이수페타시스,core,0.0,0.1,1408742198539.435,True,,2023-11-30,2023-11-30,KRX all-stock screen download x ledger free_float,eb76ff7f2fddd73889ec68a129f976cfdce7d62f20948bfd835c7acc8b6c2c19,46ad097752eaa41c19f0d2f99f17e0246954fe7c5dd7dd4e38da9aa7b43b8fa7,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2023-03-23,5bb9f600fce3d43dd24319364c30a6d3be9bdc63
014680,한솔케미칼,core,0.0,0.5,1844343910852.5,True,,2023-11-30,2023-11-30,KRX all-stock screen download x ledger free_float,eb76ff7f2fddd73889ec68a129f976cfdce7d62f20948bfd835c7acc8b6c2c19,46ad097752eaa41c19f0d2f99f17e0246954fe7c5dd7dd4e38da9aa7b43b8fa7,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2023-03-13,5bb9f600fce3d43dd24319364c30a6d3be9bdc63
033160,엠케이전자,core,0.0,0.5,159643549681.672,True,,2023-11-30,2023-11-30,KRX all-stock screen download x ledger free_float,eb76ff7f2fddd73889ec68a129f976cfdce7d62f20948bfd835c7acc8b6c2c19,46ad097752eaa41c19f0d2f99f17e0246954fe7c5dd7dd4e38da9aa7b43b8fa7,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2023-03-23,5bb9f600fce3d43dd24319364c30a6d3be9bdc63
036540,SFA반도체,satellite,0.0,0.75,390358041391.71,False,규칙 C 요건②③ 미충족,2023-11-30,2023-11-30,KRX all-stock screen download x ledger free_float,eb76ff7f2fddd73889ec68a129f976cfdce7d62f20948bfd835c7acc8b6c2c19,46ad097752eaa41c19f0d2f99f17e0246954fe7c5dd7dd4e38da9aa7b43b8fa7,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2023-03-20,5bb9f600fce3d43dd24319364c30a6d3be9bdc63
036930,주성엔지니어링,satellite,0.0,0.7,1195821738741.2998,False,규칙 C 요건②③ 미충족,2023-11-30,2023-11-30,KRX all-stock screen download x ledger free_float,eb76ff7f2fddd73889ec68a129f976cfdce7d62f20948bfd835c7acc8b6c2c19,46ad097752eaa41c19f0d2f99f17e0246954fe7c5dd7dd4e38da9aa7b43b8fa7,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2023-03-21,5bb9f600fce3d43dd24319364c30a6d3be9bdc63
039030,이오테크닉스,core,0.0,0.5,1305801585783.0,True,,2023-11-30,2023-11-30,KRX all-stock screen download x ledger free_float,eb76ff7f2fddd73889ec68a129f976cfdce7d62f20948bfd835c7acc8b6c2c19,46ad097752eaa41c19f0d2f99f17e0246954fe7c5dd7dd4e38da9aa7b43b8fa7,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2023-03-21,5bb9f600fce3d43dd24319364c30a6d3be9bdc63
