ticker,name,group,exposure,mem_ratio,float_mcap,eligible,탈락사유,selection_date,ff_market_cap_asof,ff_market_cap_source,market_facts_sha256,market_facts_source_sha256,market_facts_mapping_sha256,market_facts_price_reference_sha256,free_float_asof,code_commit
000660,SK하이닉스,anchor,0.35,0.95,111032081500576.5,True,,2025-05-30,2025-05-30,KRX all-stock screen download x ledger free_float,82ea035ef6f027b347b058f349b134bf7238fa7d6021e8f5eabdf4615e732ccf,66f99b6ab0cba8150f39188874633e60bc1c622d0eaa0d921e8275f16d765815,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-19,b14e542387e4a30d2d416b1d2e3ec51f4a6a65d9
003160,디아이,satellite,0.15,0.85,233785734000.00003,True,,2025-05-30,2025-05-30,KRX all-stock screen download x ledger free_float,82ea035ef6f027b347b058f349b134bf7238fa7d6021e8f5eabdf4615e732ccf,66f99b6ab0cba8150f39188874633e60bc1c622d0eaa0d921e8275f16d765815,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-13,b14e542387e4a30d2d416b1d2e3ec51f4a6a65d9
005290,동진쎄미켐,core,0.0,0.55,893097524606.76,True,,2025-05-30,2025-05-30,KRX all-stock screen download x ledger free_float,82ea035ef6f027b347b058f349b134bf7238fa7d6021e8f5eabdf4615e732ccf,66f99b6ab0cba8150f39188874633e60bc1c622d0eaa0d921e8275f16d765815,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-19,b14e542387e4a30d2d416b1d2e3ec51f4a6a65d9
005930,삼성전자,anchor,0.08,0.31,264250624161186.53,True,,2025-05-30,2025-05-30,KRX all-stock screen download x ledger free_float,82ea035ef6f027b347b058f349b134bf7238fa7d6021e8f5eabdf4615e732ccf,66f99b6ab0cba8150f39188874633e60bc1c622d0eaa0d921e8275f16d765815,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-11,b14e542387e4a30d2d416b1d2e3ec51f4a6a65d9
007660,이수페타시스,core,0.02,0.1,2069364774447.3599,True,,2025-05-30,2025-05-30,KRX all-stock screen download x ledger free_float,82ea035ef6f027b347b058f349b134bf7238fa7d6021e8f5eabdf4615e732ccf,66f99b6ab0cba8150f39188874633e60bc1c622d0eaa0d921e8275f16d765815,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-20,b14e542387e4a30d2d416b1d2e3ec51f4a6a65d9
014680,한솔케미칼,core,0.0,0.5,1244508061842.5,True,,2025-05-30,2025-05-30,KRX all-stock screen download x ledger free_float,82ea035ef6f027b347b058f349b134bf7238fa7d6021e8f5eabdf4615e732ccf,66f99b6ab0cba8150f39188874633e60bc1c622d0eaa0d921e8275f16d765815,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-10,b14e542387e4a30d2d416b1d2e3ec51f4a6a65d9
033160,엠케이전자,core,0.0,0.5,100364513950.61,False,ADV60<10억,2025-05-30,2025-05-30,KRX all-stock screen download x ledger free_float,82ea035ef6f027b347b058f349b134bf7238fa7d6021e8f5eabdf4615e732ccf,66f99b6ab0cba8150f39188874633e60bc1c622d0eaa0d921e8275f16d765815,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-21,b14e542387e4a30d2d416b1d2e3ec51f4a6a65d9
036540,SFA반도체,satellite,0.0,0.75,220590604413.9,False,규칙 C 요건②③ 미충족,2025-05-30,2025-05-30,KRX all-stock screen download x ledger free_float,82ea035ef6f027b347b058f349b134bf7238fa7d6021e8f5eabdf4615e732ccf,66f99b6ab0cba8150f39188874633e60bc1c622d0eaa0d921e8275f16d765815,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-21,b14e542387e4a30d2d416b1d2e3ec51f4a6a65d9
036930,주성엔지니어링,satellite,0.03,0.7,995173049837.7,False,규칙 C 요건②③ 미충족,2025-05-30,2025-05-30,KRX all-stock screen download x ledger free_float,82ea035ef6f027b347b058f349b134bf7238fa7d6021e8f5eabdf4615e732ccf,66f99b6ab0cba8150f39188874633e60bc1c622d0eaa0d921e8275f16d765815,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-17,b14e542387e4a30d2d416b1d2e3ec51f4a6a65d9
039030,이오테크닉스,core,0.0,0.5,1190778505666.5,True,,2025-05-30,2025-05-30,KRX all-stock screen download x ledger free_float,82ea035ef6f027b347b058f349b134bf7238fa7d6021e8f5eabdf4615e732ccf,66f99b6ab0cba8150f39188874633e60bc1c622d0eaa0d921e8275f16d765815,2547b98f7194bf588fccc4c5f311b7eb5b607e327477d0ca34e8cab4c90669f1,8100f0330e0a5084ba31e4e7225a400de757cb1ee135e208595cd4057a83da07,2025-03-20,b14e542387e4a30d2d416b1d2e3ec51f4a6a65d9
