ticker,name,group,exposure,mem_ratio,float_mcap,eligible,탈락사유,selection_date,ff_market_cap_asof,ff_market_cap_source,free_float_asof,code_commit
000660,SK하이닉스,anchor,0.05,0.95,43840557221127.75,True,,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-30,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
003160,디아이,satellite,0.0,0.85,67010496726.582504,False,ADV60<10억;공정/위원회 미확인,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-30,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
005290,동진쎄미켐,core,0.0,0.55,564247850258.0599,True,,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-30,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
005930,삼성전자,anchor,0.01,0.31,238472097727051.5,True,,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-30,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
007660,이수페타시스,core,0.0,0.1,94963536005.76001,True,,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-05-15,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
014680,한솔케미칼,core,0.0,0.5,915605449492.5,True,,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-25,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
033160,엠케이전자,core,0.0,0.5,100633979736.29001,True,,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-30,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
036540,SFA반도체,satellite,0.0,0.75,468192826833.73206,False,공정/위원회 미확인,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-30,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
036930,주성엔지니어링,satellite,0.0,0.7,188061918596.63998,False,공정/위원회 미확인,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-30,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
039030,이오테크닉스,core,0.0,0.5,746543293983.0,True,,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-30,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
042700,한미반도체,satellite,0.1,0.8,181634618201.283,True,,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-27,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
061970,LB세미콘,core,0.0,0.3,198216788597.28,True,,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-30,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
064290,인텍플러스,core,0.0,0.4,92421018933.068,True,,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-30,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
067310,하나마이크론,core,0.0,0.6,110795811461.838,True,,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-30,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
086390,유니테스트,core,0.0,0.55,229835099638.82,True,,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-30,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
089030,테크윙,satellite,0.0,0.8,252257173261.46002,False,공정/위원회 미확인,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-30,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
095340,ISC,satellite,0.0,0.7,135811918574.8,False,공정/위원회 미확인,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-27,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
102710,이엔에프테크놀로지,core,0.0,0.65,252341484615.36,True,,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-30,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
104830,원익머트리얼즈,core,0.0,0.6,161941123520.0,True,,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-30,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
131290,티에스이,core,0.0,0.6,73662756818.325,True,,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-30,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
166090,하나머티리얼즈,core,0.0,0.5,187080193347.3,True,,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-30,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
195870,해성디에스,core,0.0,0.35,168891260000.0,True,,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-30,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
222800,심텍,satellite,0.0,0.75,198849487677.50003,False,공정/위원회 미확인,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-30,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
253590,네오셈,satellite,0.0,0.9,28434602174.148,False,ADV60<10억;공정/위원회 미확인,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-27,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
281820,케이씨텍,core,0.0,0.6,196616787103.0,True,,2020-05-29,2020-05-29,pykrx 시총 x 원장 free_float,2020-03-30,8cd1e1c1c33198d2ae5e769592cab9cc8d6335ae
