ticker,소멸구간_시작,소멸구간_종료,소멸직전_반도체지수,반도체지수_이력
002300,20200615,20201214,False,False
003415,20200615,20201214,False,False
004200,20200615,20201214,False,False
005450,20200615,20201214,False,False
065940,20200615,20201214,False,False
083370,20200615,20201214,False,False
099340,20200615,20201214,False,False
099350,20200615,20201214,False,False
108790,20200615,20201214,False,False
112240,20200615,20201214,False,False
134780,20200615,20201214,False,False
149940,20200615,20201214,False,False
183350,20200615,20201214,False,False
194510,20200615,20201214,False,False
204990,20200615,20201214,False,False
228180,20200615,20201214,False,False
271780,20200615,20201214,False,False
276920,20200615,20201214,False,False
277480,20200615,20201214,False,False
279410,20200615,20201214,False,False
281410,20200615,20201214,False,False
005190,20201214,20210614,False,False
008800,20201214,20210614,False,False
023890,20201214,20210614,False,False
028040,20201214,20210614,False,False
036260,20201214,20210614,False,False
057500,20201214,20210614,False,False
073070,20201214,20210614,False,False
102210,20201214,20210614,False,False
120780,20201214,20210614,False,False
152330,20201214,20210614,False,False
195440,20201214,20210614,False,False
224880,20201214,20210614,False,False
226350,20201214,20210614,False,False
241510,20201214,20210614,False,False
251960,20201214,20210614,False,False
278380,20201214,20210614,False,False
284610,20201214,20210614,False,False
291210,20201214,20210614,False,False
329050,20201214,20210614,False,False
900080,20201214,20210614,False,False
028150,20210614,20211213,False,False
031390,20210614,20211213,False,False
033110,20210614,20211213,False,False
033430,20210614,20211213,False,False
033600,20210614,20211213,False,False
033660,20210614,20211213,False,False
038160,20210614,20211213,False,False
039230,20210614,20211213,False,False
043290,20210614,20211213,False,False
065620,20210614,20211213,False,False
080440,20210614,20211213,False,False
086080,20210614,20211213,False,False
086250,20210614,20211213,False,False
087730,20210614,20211213,False,False
111820,20210614,20211213,False,False
141070,20210614,20211213,False,False
144620,20210614,20211213,False,False
158300,20210614,20211213,False,False
213090,20210614,20211213,False,False
284420,20210614,20211213,False,False
307070,20210614,20211213,False,False
307160,20210614,20211213,False,False
310840,20210614,20211213,False,False
311270,20210614,20211213,False,False
313750,20210614,20211213,False,False
317030,20210614,20211213,False,False
317320,20210614,20211213,False,False
354230,20210614,20211213,False,False
007630,20211213,20220613,False,False
015350,20211213,20220613,False,False
036490,20211213,20220613,False,False
039670,20211213,20220613,False,False
041140,20211213,20220613,False,False
045890,20211213,20220613,False,False
050320,20211213,20220613,False,False
052190,20211213,20220613,False,False
053660,20211213,20220613,False,False
066110,20211213,20220613,False,False
101060,20211213,20220613,False,False
114570,20211213,20220613,False,False
138250,20211213,20220613,False,False
153360,20211213,20220613,False,False
172580,20211213,20220613,False,False
220630,20211213,20220613,False,False
221610,20211213,20220613,False,False
225330,20211213,20220613,False,False
225850,20211213,20220613,False,False
225860,20211213,20220613,False,False
240340,20211213,20220613,False,False
270020,20211213,20220613,False,False
323210,20211213,20220613,False,False
323940,20211213,20220613,False,False
327970,20211213,20220613,False,False
329560,20211213,20220613,False,False
330990,20211213,20220613,False,False
950180,20211213,20220613,False,False
001529,20220613,20221212,False,False
002270,20220613,20221212,False,False
009275,20220613,20221212,False,False
016385,20220613,20221212,False,False
046110,20220613,20221212,False,False
053110,20220613,20221212,False,False
060300,20220613,20221212,False,False
090740,20220613,20221212,False,False
126870,20220613,20221212,False,False
127160,20220613,20221212,False,False
131390,20220613,20221212,False,False
158310,20220613,20221212,False,False
176440,20220613,20221212,False,False
182690,20220613,20221212,False,False
216280,20220613,20221212,False,False
309900,20220613,20221212,False,False
332710,20220613,20221212,False,False
337450,20220613,20221212,False,False
340120,20220613,20221212,False,False
340350,20220613,20221212,False,False
347140,20220613,20221212,False,False
367460,20220613,20221212,False,False
000060,20221212,20230612,False,False
008560,20221212,20230612,False,False
050540,20221212,20230612,False,False
056000,20221212,20230612,False,False
058420,20221212,20230612,False,False
064510,20221212,20230612,False,False
096300,20221212,20230612,False,False
135160,20221212,20230612,False,False
140290,20221212,20230612,False,False
215050,20221212,20230612,False,False
217600,20221212,20230612,False,False
267060,20221212,20230612,False,False
267810,20221212,20230612,False,False
271850,20221212,20230612,False,False
281310,20221212,20230612,False,False
285770,20221212,20230612,False,False
290510,20221212,20230612,False,False
329020,20221212,20230612,False,False
341160,20221212,20230612,False,False
342550,20221212,20230612,False,False
343510,20221212,20230612,False,False
344050,20221212,20230612,False,False
349720,20221212,20230612,False,False
351340,20221212,20230612,False,False
353070,20221212,20230612,False,False
353490,20221212,20230612,False,False
387310,20221212,20230612,False,False
388220,20221212,20230612,False,False
396770,20221212,20230612,False,False
397500,20221212,20230612,False,False
426670,20221212,20230612,False,False
000547,20230612,20231218,False,False
000995,20230612,20231218,False,False
001745,20230612,20231218,False,False
004565,20230612,20231218,False,False
010050,20230612,20231218,False,False
010145,20230612,20231218,False,False
015540,20230612,20231218,False,False
046140,20230612,20231218,False,False
048260,20230612,20231218,False,False
069110,20230612,20231218,False,False
078650,20230612,20231218,False,False
085370,20230612,20231218,False,False
08537M,20230612,20231218,False,False
096640,20230612,20231218,False,False
138690,20230612,20231218,False,False
155900,20230612,20231218,False,False
242350,20230612,20231218,False,False
298870,20230612,20231218,False,False
348840,20230612,20231218,False,False
353060,20230612,20231218,False,False
366330,20230612,20231218,False,False
367340,20230612,20231218,False,False
367360,20230612,20231218,False,False
367480,20230612,20231218,False,False
373340,20230612,20231218,False,False
400560,20230612,20231218,False,False
405350,20230612,20231218,False,False
409570,20230612,20231218,False,False
440200,20230612,20231218,False,False
001725,20231218,20240617,False,False
001880,20231218,20240617,False,False
030790,20231218,20240617,False,False
058220,20231218,20240617,False,False
068400,20231218,20240617,False,False
091990,20231218,20240617,False,False
114120,20231218,20240617,False,False
115960,20231218,20240617,False,False
141020,20231218,20240617,False,False
148140,20231218,20240617,False,False
150440,20231218,20240617,False,False
161570,20231218,20240617,False,False
183410,20231218,20240617,False,False
224020,20231218,20240617,False,False
248020,20231218,20240617,False,False
322190,20231218,20240617,False,False
372290,20231218,20240617,False,False
377400,20231218,20240617,False,False
377630,20231218,20240617,False,False
380320,20231218,20240617,False,False
380440,20231218,20240617,False,False
386580,20231218,20240617,False,False
391060,20231218,20240617,False,False
393360,20231218,20240617,False,False
397880,20231218,20240617,False,False
404950,20231218,20240617,False,False
405640,20231218,20240617,False,False
419270,20231218,20240617,False,False
426550,20231218,20240617,False,False
427950,20231218,20240617,False,False
436530,20231218,20240617,False,False
450410,20231218,20240617,False,False
003410,20240617,20241216,False,False
006580,20240617,20241216,False,False
053590,20240617,20241216,False,False
058530,20240617,20241216,False,False
062860,20240617,20241216,False,False
065560,20240617,20241216,False,False
089530,20240617,20241216,False,False
115390,20240617,20241216,False,False
119860,20240617,20241216,False,False
136510,20240617,20241216,False,False
138580,20240617,20241216,False,False
163430,20240617,20241216,False,False
164060,20240617,20241216,False,False
181340,20240617,20241216,False,False
258250,20240617,20241216,False,False
263540,20240617,20241216,False,False
282690,20240617,20241216,False,False
286000,20240617,20241216,False,False
287410,20240617,20241216,False,False
299670,20240617,20241216,False,False
388800,20240617,20241216,False,False
400840,20240617,20241216,False,False
415580,20240617,20241216,False,False
419700,20240617,20241216,False,False
421800,20240617,20241216,False,False
430230,20240617,20241216,False,False
430460,20240617,20241216,False,False
436610,20240617,20241216,False,False
438220,20240617,20241216,False,False
012600,20241216,20250616,False,False
029960,20241216,20250616,False,False
034300,20241216,20250616,False,False
038340,20241216,20250616,False,False
078940,20241216,20250616,False,False
080000,20241216,20250616,False,False
160600,20241216,20250616,False,False
168490,20241216,20250616,False,False
214310,20241216,20250616,False,False
214870,20241216,20250616,False,False
258540,20241216,20250616,False,False
268600,20241216,20250616,False,False
283100,20241216,20250616,False,False
299910,20241216,20250616,False,False
376190,20241216,20250616,False,False
406760,20241216,20250616,False,False
412930,20241216,20250616,False,False
413600,20241216,20250616,False,False
418170,20241216,20250616,False,False
418210,20241216,20250616,False,False
422040,20241216,20250616,False,False
424140,20241216,20250616,False,False
425290,20241216,20250616,False,False
430700,20241216,20250616,False,False
433530,20241216,20250616,False,False
435380,20241216,20250616,False,False
435620,20241216,20250616,False,False
435870,20241216,20250616,False,False
437780,20241216,20250616,False,False
438580,20241216,20250616,False,False
439250,20241216,20250616,False,False
439730,20241216,20250616,False,False
446600,20241216,20250616,False,False
456440,20241216,20250616,False,False
457390,20241216,20250616,False,False
458320,20241216,20250616,False,False
477530,20241216,20250616,False,False
900280,20241216,20250616,False,False
000075,20250616,20251215,False,False
000885,20250616,20251215,False,False
005390,20250616,20251215,False,False
006390,20250616,20251215,False,False
010420,20250616,20251215,False,False
010620,20250616,20251215,False,False
014200,20250616,20251215,False,False
019590,20250616,20251215,False,False
023460,20250616,20251215,False,False
024810,20250616,20251215,False,False
044060,20250616,20251215,False,False
049770,20250616,20251215,False,False
071460,20250616,20251215,False,False
072520,20250616,20251215,False,False
086460,20250616,20251215,False,False
091090,20250616,20251215,False,False
093230,20250616,20251215,False,False
096040,20250616,20251215,False,False
102280,20250616,20251215,False,False
151910,20250616,20251215,False,False
226440,20250616,20251215,False,False
289860,20250616,20251215,False,False
290380,20250616,20251215,False,False
323230,20250616,20251215,False,False
335890,20250616,20251215,False,False
430220,20250616,20251215,False,False
439410,20250616,20251215,False,False
440790,20250616,20251215,False,False
440820,20250616,20251215,False,False
442130,20250616,20251215,False,False
442310,20250616,20251215,False,False
442770,20250616,20251215,False,False
442900,20250616,20251215,False,False
445360,20250616,20251215,False,False
445970,20250616,20251215,False,False
446190,20250616,20251215,False,False
446750,20250616,20251215,False,False
448370,20250616,20251215,False,False
448740,20250616,20251215,False,False
449020,20250616,20251215,False,False
454750,20250616,20251215,False,False
468510,20250616,20251215,False,False
476470,20250616,20251215,False,False
950110,20250616,20251215,False,False
001140,20251215,20260615,False,False
003560,20251215,20260615,False,False
008110,20251215,20260615,False,False
010600,20251215,20260615,False,False
019440,20251215,20260615,False,False
033180,20251215,20260615,False,False
036180,20251215,20260615,False,False
042670,20251215,20260615,False,False
052670,20251215,20260615,False,False
054630,20251215,20260615,False,False
057880,20251215,20260615,False,False
111870,20251215,20260615,False,False
138490,20251215,20260615,False,False
139050,20251215,20260615,False,False
140910,20251215,20260615,False,False
149300,20251215,20260615,False,False
150840,20251215,20260615,False,False
152550,20251215,20260615,False,False
174880,20251215,20260615,False,False
204210,20251215,20260615,False,False
204630,20251215,20260615,False,False
208340,20251215,20260615,False,False
217620,20251215,20260615,False,False
222810,20251215,20260615,False,False
226360,20251215,20260615,False,False
230980,20251215,20260615,False,False
238170,20251215,20260615,False,False
257990,20251215,20260615,False,False
266870,20251215,20260615,False,False
288490,20251215,20260615,False,False
308700,20251215,20260615,False,False
341310,20251215,20260615,False,False
343090,20251215,20260615,False,False
368030,20251215,20260615,False,False
444920,20251215,20260615,False,False
446150,20251215,20260615,False,False
448760,20251215,20260615,False,False
448830,20251215,20260615,False,False
450050,20251215,20260615,False,False
