ticker,name,disclosed_at,fiscal_year,sector,hbm_massproduction,hbm_exposure,mem_ratio,process_confirmed,committee_ok,free_float,source,admin_issue,reviewer,judgment_status,audit_opinion
007660,이수페타시스,2022-03-23,2021,전자부품 제조업,False,0.0,0.1,False,False,0.7355,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220323001140,False,노민수,FINAL,적정
007660,이수페타시스,2023-03-23,2022,전자부품 제조업,False,0.0,0.1,False,False,0.7339,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230323001183,False,노민수,FINAL,적정
007660,이수페타시스,2024-03-21,2023,전자부품 제조업,False,0.0,0.1,False,False,0.7341,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240321001149,False,노민수,FINAL,적정
007660,이수페타시스,2025-03-20,2024,전자부품 제조업,False,0.02,0.1,False,False,0.7341,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320001435,False,노민수,FINAL,적정
007660,이수페타시스,2026-03-23,2025,전자부품 제조업,False,0.02,0.1,False,False,0.7387,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260323000847,False,노민수,FINAL,적정
014680,한솔케미칼,2020-03-25,2019,기초 화학물질 제조업,False,0.0,0.5,False,False,0.8314,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200325001299,False,노민수,FINAL,적정
014680,한솔케미칼,2021-03-16,2020,기초 화학물질 제조업,False,0.0,0.5,False,False,0.8318,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20210316001222,False,노민수,FINAL,적정
014680,한솔케미칼,2022-03-15,2021,기초 화학물질 제조업,False,0.0,0.5,False,False,0.8316,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20220315000012,False,노민수,FINAL,적정
014680,한솔케미칼,2023-03-13,2022,기초 화학물질 제조업,False,0.0,0.5,False,False,0.8095,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230313000732,False,노민수,FINAL,적정
014680,한솔케미칼,2024-03-12,2023,기초 화학물질 제조업,False,0.0,0.5,False,False,0.8089,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240312000921,False,노민수,FINAL,적정
014680,한솔케미칼,2025-03-10,2024,기초 화학물질 제조업,False,0.0,0.5,False,False,0.8255,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250310000865,False,노민수,FINAL,적정
014680,한솔케미칼,2026-03-18,2025,기초 화학물질 제조업,False,0.0,0.5,False,False,0.8278,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260318001424,False,노민수,FINAL,적정
033160,엠케이전자,2020-03-30,2019,전자부품 제조업,False,0.0,0.5,False,False,0.5993,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20200330003137,False,노민수,FINAL,적정
