ticker,adv60_krw
000660,12246277559002.35
005930,9316489421105.2
036930,527396342429.1667
042700,420355658139.1667
403870,292190664925.8333
353200,160321830530.0
007660,152249453930.83334
089030,117326533572.5
067310,112628792437.08333
222800,103082946443.33333
039030,79294937562.5
036540,67217789333.36667
095340,59681327513.333336
005290,46271429030.0
425040,35025193624.333336
357780,31796069116.666668
131290,29167239990.833332
033160,26148322157.583332
014680,22368275056.516666
195870,22294748316.666668
064290,21675268626.25
281820,20489706350.833332
166090,15494815333.333334
253590,13761711309.083334
003160,10363906056.666666
112290,8964279551.5
322310,8904112233.5
102710,6795012146.666667
348210,6561026054.583333
061970,5646888544.7
086390,5027235991.666667
104830,3735267375.0
394280,3619222405.5833335
