ticker,name,disclosed_at,fiscal_year,sector,hbm_massproduction,hbm_exposure,mem_ratio,process_confirmed,committee_ok,free_float,source,admin_issue,_주요제품,_핸도버2026bucket
005930,삼성전자,2023-03-31,2022,메모리제조,,,,,,0.7926,HBM_value_33 CSV(유동비율) + DART FY2022 사업보고서 판정 TODO,False,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",anchor
005930,삼성전자,2024-03-31,2023,메모리제조,,,,,,0.8115,HBM_value_33 CSV(유동비율) + DART FY2023 사업보고서 판정 TODO,False,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",anchor
005930,삼성전자,2025-03-31,2024,메모리제조,,,,,,0.7943,HBM_value_33 CSV(유동비율) + DART FY2024 사업보고서 판정 TODO,False,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",anchor
005930,삼성전자,2026-03-31,2025,메모리제조,,,,,,0.7861,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",anchor
007660,이수페타시스,2020-03-31,2019,전자부품 제조업,,,,,,0.6528,HBM_value_33 CSV(유동비율(대용:익년Q1)) + DART FY2019 사업보고서 판정 TODO,False,"P.C.B(인쇄회로기판),M.L.B 제조",
007660,이수페타시스,2021-03-31,2020,전자부품 제조업,,,,,,0.6894,HBM_value_33 CSV(유동비율) + DART FY2020 사업보고서 판정 TODO,False,"P.C.B(인쇄회로기판),M.L.B 제조",
007660,이수페타시스,2022-03-31,2021,전자부품 제조업,,,,,,0.7355,HBM_value_33 CSV(유동비율) + DART FY2021 사업보고서 판정 TODO,False,"P.C.B(인쇄회로기판),M.L.B 제조",
007660,이수페타시스,2023-03-31,2022,전자부품 제조업,,,,,,0.7339,HBM_value_33 CSV(유동비율) + DART FY2022 사업보고서 판정 TODO,False,"P.C.B(인쇄회로기판),M.L.B 제조",
007660,이수페타시스,2024-03-31,2023,전자부품 제조업,,,,,,0.7341,HBM_value_33 CSV(유동비율) + DART FY2023 사업보고서 판정 TODO,False,"P.C.B(인쇄회로기판),M.L.B 제조",
007660,이수페타시스,2025-03-31,2024,전자부품 제조업,,,,,,0.7341,HBM_value_33 CSV(유동비율) + DART FY2024 사업보고서 판정 TODO,False,"P.C.B(인쇄회로기판),M.L.B 제조",
007660,이수페타시스,2026-03-31,2025,전자부품 제조업,,,,,,0.7387,HBM_value_33 CSV(유동비율) + DART FY2025 사업보고서 판정 TODO,False,"P.C.B(인쇄회로기판),M.L.B 제조",
014680,한솔케미칼,2020-03-31,2019,기초 화학물질 제조업,,,,,,0.8314,HBM_value_33 CSV(유동비율(대용:익년Q1)) + DART FY2019 사업보고서 판정 TODO,False,"과산화수소,라텍스,요소수지,수소액화탄산,차아황산소다 제조,판매,디지털카메라용 인화필름 제조,수출",
014680,한솔케미칼,2021-03-31,2020,기초 화학물질 제조업,,,,,,0.8318,HBM_value_33 CSV(유동비율) + DART FY2020 사업보고서 판정 TODO,False,"과산화수소,라텍스,요소수지,수소액화탄산,차아황산소다 제조,판매,디지털카메라용 인화필름 제조,수출",
014680,한솔케미칼,2022-03-31,2021,기초 화학물질 제조업,,,,,,0.8316,HBM_value_33 CSV(유동비율) + DART FY2021 사업보고서 판정 TODO,False,"과산화수소,라텍스,요소수지,수소액화탄산,차아황산소다 제조,판매,디지털카메라용 인화필름 제조,수출",
014680,한솔케미칼,2023-03-31,2022,기초 화학물질 제조업,,,,,,0.8095,HBM_value_33 CSV(유동비율) + DART FY2022 사업보고서 판정 TODO,False,"과산화수소,라텍스,요소수지,수소액화탄산,차아황산소다 제조,판매,디지털카메라용 인화필름 제조,수출",
